David Basin, ETH Zurich, Switzerland
Dan Boneh, Stanford University, USA
Jan Camenisch, IBM Research, Switzerland
Pierpaolo Degano, University of Pisa, Italy
George Dinolt, Naval Postgraduate School, USA
Yevginiy Dodis, New York University, USA
Joan Feigenbaum, Yale University, USA
Stephanie Forrest, University of New Mexico, USA
Cédric Fournet, Microsoft Research, UK
Dieter Gollmann, TU Hamburg-Harburg, Germany
Roberto Gorrieri, University of Bologna, Italy
Joshua Guttman, MITRE, USA
Cynthia Irvine, Naval Postgraduate School, USA
Somesh Jha, University of Wisconsin, USA
Jonathan Katz, University of Maryland, USA
Angelos Keromytis, Columbia University, USA
Carl Landwehr, University of Maryland, USA
Peeter Laud, Universiy of Tartu, Estonia
Ninghui Li, Purdue University, USA
Javier Lopez, University of Malaga, Spain
Hiroshi Maruyama, IBM Japan, Japan  John Mitchell, Stanford University, USA 
George Mohay, Queensland University of Technology, Australia
Mats Näslund, Ericcson Research, Sweden
Eiji Okamoto, University of Tsukuba, Japan
Hilarie Orman, Purple Streak, USA
Radia Perlman, Sun Microsystems, USA
Adrian Perrig, Carnegie Mellon University, USA
Radha Poovendran, University of Washington, USA
Rei Safavi-Naini, University of Wollongong, Australia
Andre Scedrov, U Penn, USA
Kang Shin, University of Michigan, USA
Vitaly Shmatikov, University of Texas, USA
Dawn Song, Carnegie-Mellon University, USA
Giovanni Vigna, UC Santa Barbara, USA
David Wagner, UC Berkeley, USA
Dan Wallach, Rice University, USA
Andreas Westfeld, TU Dresden, Germany
Marianne Winslett, University of Illinois, USA
Rebecca Wright, Stevens Institute of Technology, USA
Lenore Zuck, University of Illinois at Chicago, USA
