Carlisle Adams, University of Ottawa, Canada 
Giuseppe Ateniese, Johns Hopkins University, USA 
Vijay Atluri, Rutgers University, USA 
Michael Backes, Saarland University, Germany 
Giampaolo Bella, Università di Catania, Italy 
John Black, University of Colorado, USA 
Nikita Borisov, UIUC, USA 
Jan Camenisch, IBM Research, Switzerland 
Rosario Gennaro, IBM T. J. Watson, USA 
Michael Goodrich, UC Irvine, USA 
Stefanos Gritzalis, University of the Aegean, Greece 
Trent Jaeger, Penn State University, USA 
Markus Jakobsson, Indiana University, USA 
Somesh Jha, University of Wisconsin, USA 
Trevor Jim, AT&T Research, USA 
Jonathan Katz, University of Maryland, USA 
Brian Levine, U Mass Amherst, USA 
Ninghui Li, Purdue University, USA 
Peng Liu, Penn State University, USA 
Javier Lopez, University of Malaga, Spain 
Patrick McDaniel, Penn State University, USA 
Catherine Meadows, Naval Research Laboratory, USA 
Nasir Memon, Polytechnic University, USA 
John Mitchell, Stanford University, USA 
Refik Molva, Institut Eurecome, Sophia Antipolis, France 
Eiji Okamoto, University of Tsukuba, Japan 
Phil Porras, SRI International, USA 
Rei Safavi-Naini, University of Wollongong, Australia 
Reiner Sailer, IBM T.J. Watson, USA 
Pierangela Samarati, Università degli Studi di Milano, Italy 
Andre Scedrov, University of Pennsylvania, USA 
R. Sekar, SUNY Stony Brook, USA 
Shiuhpyng Shieh, National Chiao Tung University, Taiwan 
Sean Smith, Dartmouth College, USA 
Dawn Song, Carnegie Mellon University, USA 
Jessica Staddon, Palo Alto Research Center, USA 
Giovanni Vigna, UC Santa Barbara, USA 
Poorvi Vora, George Washington University, USA 
Susanne Wetzel, Stevens Institute of Technology, USA 
Shouhuai Xu, University of Texas at San Antonio, USA 
Alec Yasinsac, Florida State University, USA 
Ting Yu, North Carolina State University, USA 
Sheng Zhong, SUNY Buffalo, USA
