Martin Abadi, UC Santa Cruz & Microsoft Research, USA
Gail-Joon Ahn, UNC Charlotte, USA
Mikhail Atallah, Purdue University, USA
Giuseppe Ateniese, The Johns Hopkins University, USA
Vijay Atluri, Rutgers University, USA
Dan Boneh, Stanford University, USA
Lorrie Cranor, Carnegie Mellon University, USA
Marco Cremonini, University of Milan, Italy
David Dagon, Georgia Institute of Technology, USA
George Danezis, K.U. Leuven, Belgium
Robert Deng, Singapore Management University, Singapore
Claudia Diaz, K.U. Leuven, Belgium
Sven Dietrich, Carnegie Mellon University, USA
Roger Dingledine, The Free Haven Project, USA
Wenliang Du, Syracuse University, USA
Alberto Escudero-Pascual, IT46, Sweden
Simone Fischer-Huebner, Karlstad University, Sweden
Kevin Fu, University of Massachusetts Amherst, USA
Virgil Gligor, University of Maryland at College Park, USA
Philippe Golle, Palo Alto Research Center, USA
Dieter Gollmann, TU Hamburg-Harburg, Germany
Rachel Greenstadt, Harvard University, USA
Markus Jakobsson, Indiana University, USA
Somesh Jha, University of Wisconsin, USA
Ari Juels, RSA Laboratories, USA
Angelos Keromytis, Columbia University, USA
Christopher Kruegel, Technical University Vienna, Austria
Xuejia Lai, Shanghai Jiaotong University, China
Wenke Lee, Georgia Institute of Technology, USA
Peng Liu, The Pennsylvania State University, USA
Heiko Mantel, RWTH Aachen, Germany
Nick Mathewson, The Free Haven Project, USA
Doug Maughan, Department of Homeland Security, USA
John McHugh, Dalhousie University, Canada
Ludovic Mé, Supélec, France
Catherine Meadows, Naval Research Laboratory, USA
John Mitchell, Stanford University, USA
David Molnar, UC Berkeley, USA
Yi Mu, University of Wollongong, Australia
Steven Murdoch, University of Cambridge, UK
Stefano Paraboschi, University of Bergamo, Italy
Bart Preneel, K.U. Leuven, Belgium
Peter Ryan, Newcastle University, UK
Kazue Sako, NEC Corporation, Japan
Pierangela Samarati, University of Milan, Italy
Shiuhpyng Shieh, National Chiao Tung University, Taiwan
Vitaly Shmatikov, University of Texas, USA
Radu Sion, Stony Brook, USA
Einar Snekkenes, Gjøvik University College, Norway
Salvatore Stolfo, Columbia University, USA
Jonathan Trostle, ASK Consulting and Research, USA
Nicholas Weaver, Int. Computer Science Institute, USA
Vicky Weissman, Cornell University, USA
William Winsborough, Univ. of Texas at San Antonio, USA
Marianne Winslett, University of Illinois, USA
Matthew Wright, University of Texas at Arlington, USA
Alec Yasinsac, Florida State University, USA
Ting Yu, North Carolina State University, USA
Jianying Zhou, Institute for Infocomm Research, Singapore
Sencun Zhu, The Pennsylvania State University, USA
Mary Ellen Zurko, IBM, USA
