Martin Abadi, Univ. of California at Santa Cruz, USA
Heiko Mantel, Technical Univ. Darmstadt, Germany
Ben Adida, Harvard University, USA   
Nick Mathewson, The Tor Project, USA
Mikhail Atallah, Purdue University, USA
Patrick McDaniel, The Pennsylvania State University, USA
Giuseppe Ateniese, The Johns Hopkins University, USA
Z. Morley Mao, University of Michigan, USA
Vijay Atluri, Rutgers University, USA
Catherine Meadows, Naval Research Laboratory, USA
Paul Barford, University of Wisconsin, USA
John Mitchell, Stanford University, USA
Nikita Borisov, University of Illinois, USA
David Molnar, Univ. of California, Berkeley, USA
Jean Camp, Indiana University, USA
James Muir, Saint Mary’s University, Canada
Iliano Cervesato, Carnegie Mellon University, Qatar 
Steven Murdoch, University of Cambridge, UK
Ajay Chander, NTT DoCoMo Labs, USA
Steven Myers, Indiana University, USA
Mihai Christodorescu, IBM Research, USA
Prasad Naldurg, Microsoft Research, India
Richard Clayton, University of Cambridge, UK  
Peng Ning, North Carolina State University, USA
Lorrie Cranor, Carnegie Mellon University, USA
Cristina Nita-Rotaru, Purdue University, USA
Marco Cremonini, Univ. of Milan, Italy
Lasse Øverlier, NDRE and Gjøk Univ. College, Norway
George Danezis, Microsoft Research, UK
Stefano Paraboschi, University of Bergamo, Italy
Anupam Datta, Carnegie Mellon University, USA
Adrian Perrig, Carnegie Mellon University, USA
Sabrina De Capitani di Vimercati, Univ. of Milan, Italy
Andreas Pfitzmann, Technical Univ. Dresden, Germany
Robert Deng, Singapore Management Univ., Singapore
Bart Preneel, Katholieke Universiteit Leuven, Belgium
Claudia Diaz, Katholieke Universiteit Leuven, Belgium
Sriram Rajamani, Microsoft Research, India
Sven Dietrich, Stevens Institute of Technology, USA
Mike Reiter, Univ. of North Carolina, Chapel Hill, USA
Wenliang Du, Syracuse University, USA
Andrei Sabelfeld, Chalmers Univ. of Technology, Sweden
Matt Edman, Rensselaer Polytechnic Institute, USA      
Kazue Sako, NEC Corporation, Japan
Dawson Engler, Stanford University, USA
Pierangela Samarati, Univ. of Milan, Italy
Nick Feamster, Georgia Institute of Technology, USA
Steve Schneider, University of Surrey, UK
Simone Fischer-Huebner, Karlstad University, Sweden
Andre Scedrov, University of Pennsylvania, USA
Jeff Foster, University of Maryland, USA     
Hovav Shacham, Weizmann Institute of Science, Israel
Cédric Fournet, Microsoft Research, UK
Umesh Shankar, Google, USA
Michael Freedman, Princeton University, USA  
Shiuhpyng Shieh, National Chiao Tung University, Taiwan
Vinod Ganapathy, Rutgers University, USA     
Vitaly Shmatikov, University of Texas, USA
Eu-Jin Goh, Stanford University, USA 
Radu Sion, Stony Brook University, USA
Philippe Golle, Palo Alto Research Center, USA
Anil Somayaji, Carleton University, Canada
Rachel Greenstadt, Harvard University, USA 
Jessica Staddon, Palo Alto Research Center, USA
Steven Gribble, University of Washington, USA
Salvatore Stolfo, Columbia University, USA
J. Alex Halderman, Princeton University, USA
Michael Swift, University of Wisconsin, USA
Michael Hicks, University of Maryland, USA
Julie Thorpe, Carleton University, Canada
Trent Jaeger, The Pennsylvania State University, USA
Paul van Oorschot, Carleton University, Canada
Farnam Jahanian, University of Michigan, USA
Giovanni Vigna, Univ. of California, Santa Barbara
Rob Johnson, Stonybrook University,, USA 
Dan Wallach, Rice University, USA
Aaron Johnson, Yale University, USA  
Helen Wang, Microsoft Research, USA
Ari Juels, RSA Laboratories, USA     
XiaoFeng Wang, Indiana University, USA
Angelos Keromytis, Columbia University, USA   
Nicholas Weaver, Int. Computer Science Institute, USA
Yoshi Kohno, University of Washington, USA
Marianne Winslett, University of Illinois, USA
Christopher Kruegel, Technical Univ. Vienna, Austria   
Rebecca Wright, Rutgers University, USA
Wenke Lee, Georgia Institute of Technology, USA
Alec Yasinsac, Florida State University, USA
Brian Levine, University of Massachusetts Amherst, USA 
Ting Yu, North Carolina State University, USA
Ninghui Li, Purdue University, USA
Jianying Zhou, Institute for Infocomm Research, Singapore
Peng Liu, The Pennsylvania State University, USA    
