Martin Abadi, UC Santa Cruz & Microsoft, USA
Kostas Anagnostakis, I2R/A-STAR, Singapore
Konstantin Beznosov, U British Columbia, Canada
Dan Boneh, Stanford University, USA
Steve Borbash, Department of Defense, USA
Jean Camp, Indiana University, USA
Iliano Cervesato, Carnegie Mellon Univ., USA
Mihai Christodorescu, IBM Research, USA
Debra Cook, IDA-CCS, USA
Lorrie Cranor, Carnegie Mellon Univ., USA
Weidong Cui, Microsoft Research, USA
Marc Dacier, Symantec, France
George Danezis, Microsoft Research, UK
Claudia Diaz, KU Leuven, Belgium
Sven Dietrich, Stevens Inst. of Tech., USA
Wenliang Du, Syracuse University, USA
Matt Edman, Rensselaer Polytech. Inst., USA
Simone Fischer-Huebner, Karlstads U, Sweden
Cédric Fournet, Microsoft Research, UK
Jonathon Giffin, Georgia Tech, USA
Virgil Gligor, Carnegie Mellon Univ., USA
Eu-Jin Goh, Stanford University, USA
Rachel Greenstadt, Drexel University, USA
Minaxi Gupta, Indiana University, USA
Peter Guttmann, U of Auckland, New Zealand
J. Alex Halderman, Princeton University, USA
Sotiris Ioannidis, ICS/FORTH, Greece
Trent Jaeger, Penn State University, USA
Farnam Jahanian, U.Michigan, USA
Rob Johnson, Stony Brook University, USA
Apu Kapadia, MIT Lincoln Labs, USA
Yoshi Kohno, University of Washington, USA
Shriram Krishnamurthi, Brown University, USA
Ben Laurie, Google UK
Wenke Lee, Georgia Institute of Technology, USA
Brian Levine, U of Massachusetts Amherst, USA
Ninghui Li, Purdue University, USA
Patrick McDaniel, Penn State University, USA
Catherine Meadows, Naval Research Laboratory, USA
David Molnar, U of California, Berkeley, USA
Fabian Monrose, Univ. of North Carolina, USA
James Muir, Cloakware Corporation, Canada
Peng Ning, North Carolina State Univ., USA
Cristina Nita-Rotaru, Purdue University, USA
Paul van Oorschot, Carleton University, Canada
Lasse Øverlier, FFI, Norway
Stefano Paraboschi, University of Bergamo, Italy
Andrei Sabelfeld, Chalmers U of Tech., Sweden
Kazue Sako, NEC, Japan
Pierangela Samarati, University of Milan, Italy
Angela Sasse, University College London, UK
R. Sekar, Stony Brook University, USA
Hovav Shacham, UC San Diego, USA
Umesh Shankar, Google, USA
Shiuhpyng Shieh, National Chiao Tung U, Taiwan
Anoop Singhal, NIST, USA
Radu Sion, Stony Brook University, USA
Jon Solworth, U. Illinois Chicago, USA
Jessica Staddon, Palo Alto Research Center, USA
Angelos Stavrou, George Mason Univ., USA
Julie Thorpe, Carleton University, Canada
Patrick Traynor, Georgia Tech, USA
Venkat Venkatakrishnan, U. Illinois Chicago, USA
Giovanni Vigna, UC Santa Barbara, USA
Dan Wallach, Rice University, USA
Susanne Wetzel, Stevens Inst. of Tech., USA
