Giuseppe Ateniese, Sapienza-University of Rome and Johns Hopkins University
Michael Backes, Saarland Univ. and MPI-SWS
Adam Barth, Stanford
David Basin, ETH Zurich
Konstantin Beznosov, U. of British Columbia
Bruno Blanchet, CNRS, ENS, INRIA
Alexandra Boldyreva, Georgia Institute of Technology
Nikita Borisov, University of Illinois at Urbana-Champaign
Jan Camenisch, IBM Research Zurich
Srdjan Capkun, ETH Zurich
Claude Castelluccia, INRIA
Shuo Chen, Microsoft Research
Mihai Christodorescu, IBM Research
Richard Clayton, University of Cambridge
Véronique Cortier, LORIA INRIA-Lorraine
Riccardo Focardi, U. of Venice
Bryan Ford, Yale University
Philippe Golle, Google
Andrew D. Gordon, Microsoft Research
Guofei Gu, Texas A&M Univ.
Thorsten Holz, Ruhr-University Bochum
Nicholas Hopper, University of Minnesota
Jean-Pierre Hubaux, EPFL
Sotiris Ioannidis, Foundation for Research and Technology
Sushil Jajodia, George Mason University
Markus Jakobsson, PayPal
Jonathan Katz, U. of Maryland, USA
Stefan Katzenbeisser, TU Darmstadt
Angelos Keromytis, Columbia University
Engin Kirda, Northeastern University
Arvind Krishnamurthy, U. of Washington
Ralf Kuesters, University of Trier
Peeter Laud, Cybernetica
Wenke Lee, Georgia Institute of Technology
Ninghui Li, Purdue University
Benjamin Livshits, Microsoft Research
Heiko Mantel, TU Darmstadt
Patrick McDaniel, Pennsylvania State University
Tyler Moore, Wellesley College and SMU
Andrew Myers, Cornell University
Alina Oprea, RSA Laboratories, Cambridge, MA
Bryan Parno, Microsoft Research
Kenny Paterson, Royal Holloway, U. of London
Adrian Perrig, Carnegie Mellon University
Frank Piessens, KU Leuven
Niels Provos, Google
Christian Rechberger, DTU
Mike Reiter, University of North Carolina at Chapel Hill
Thomas Ristenpart, U. of Wisconsin
Deng Robert, Singapore Management University
Ahmad-Reza Sadeghi, TU Darmstadt and Fraunhofer SIT Darmstadt
Radu Sion, Stony Brook
Anil Somayaji, Carleton University
Salvatore Stolfo, Columbia University
Paul Syverson, Naval Research Laboratory
Ingrid Verbauwhede, KU Leuven
Michael Waidner, CASED
Dan Wallach, Rice University
Helen Wang, Microsoft Research
Bogdan Warinschi, University of Bristol
Haifeng Yu, National University of Singapore
