Gail-Joon Ahn, Arizona State University, US	
William Arbaugh, University of Maryland, US	
Mikhail Atallah, Purdue University, US	
Giuseppe Ateniese, Sapienza – University of Rome, IT	
David Basin, ETH Zurich, CH	
Lujo Bauer, Carnegie Mellon University, US	
Konstantin Beznosov, University of British Columbia, CA	
Matt Bishop, University of California at Davis, US	
David Brumley, Carnegie Mellon University, US	
Kevin Butler, University of Oregon, US	
Jan Camenisch, IBM Research, Zurich Research Laboratory, CH	
Srdjan Capkun, ETH Zurich, CH	
Alvaro Cardenas, University of Texas at Dallas, US	
Liqun Chen, Hewlett-Packard Laboratories, UK	
Stephen Chong, Harvard University, US	
Nicolas Christin, Carnegie Mellon University, US	
Véronique Cortier, CNRS, Loria, FR	
Weidong Cui, Microsoft Research, US	
Reza Curtmola, New Jersey Institute of Technology, US	
Anupam Datta, Carnegie Mellon University, US	
Roberto Di Pietro, Università di Roma Tre, IT	
Wenliang Du, Syracuse University, US	
David Evans, University of Virginia, US	
Peter Guttmann, University of Auckland, NZ	
J. Alex Halderman, University of Michigan, US	
Cormac Herley, Microsoft Research, US	
Thorsten Holz, Ruhr-Universität Bochum, DE	
Nicholas Hopper, University of Minnesota, US	
Yih-Chun Hu, University of Illinois, Urbana Champaign, US	
Sotiris Ioannidis, FORTH-ICS, GR	   
Trent Jaeger, Pennsylvania State University, US	
Sushil Jajodia, George Mason University, US	
Rob Johnson, Stony Brook University, US	
Ari Juels, RSA Laboratories, US	
Apu Kapadia, Indiana University, US	
Jonathan Katz, University of Maryland, US	
Stefan Katzenbeisser, TU Darmstadt, DE	
Angelos Keromytis, Columbia University, US	
Florian Kerschbaum, SAP Research, DE	
Yongdae Kim, KAIST, KR   
Engin Kirda, Northeastern University, US	
Farinaz Koushanfar, Rice University, US	
Wenke Lee, Georgia Institute of Technology, US	
Brian Levine, UMass Amherst, US	
Yingjiu Li, Singapore Management University, SG	
Z. Morley Mao, University of Michigan, US	
Jonathan McCune, Google, US	
Catherine Meadows, Naval Research Laboratory
Refik Molva, EURECOM, FR	
Fabian Monrose, University of North Carolina at Chapel Hill, US	
Andrew Myers, Cornell University, US	
David Naccache, Ecole Normale Suprieure, FR	
Cristina Nita-Rotaru, Purdue University, US	
Alina Oprea, RSA Security, US	
Panos Papadimitratos, KTH Stockholm, SE	
Bryan Parno, Microsoft Research, US	
Benny Pinkas, Bar Ilan University, IL	
Mike Reiter, University of North Carolina at Chapel Hill, US	
Michael Roe, University of Hertfordshire, UK	
Volker Roth, Freie Universitaet Berlin, DE	
Ravi Sandhu, UT San Antonio, US	
Vyas Sekar, Stony Brook University, US	
Simha Sethumadhavan, Columbia University, US	
Shiuhpyng Shieh, National Chiao Tung University, TW	
Clay Shields, Georgetown University, US	
Radu Sion, Stony Brook University, US	
Sean Smith, Dartmouth College, US	
Salvatore Stolfo, Columbia University, US	
Patrick Tague, Carnegie Mellon University, US	
Roberto Tamassia, Brown University, US	
George Theodorakopoulos, Cardiff University, GB	
Wade Trappe, WINLAB, Rutgers University, US	
Patrick Traynor, Georgia Institute of Technology, US	
Carmela Troncoso, Gradiant, ES	
Vijay Varadharajan, Macquarie University, AU	
Michael Waidner, Fraunhofer SIT, DE	
Jesse Walker, Intel	
Bogdan Warinschi, University of Bristol, GB	
Brent Waters, University of Texas at Austin, US	
Robert Watson, Cambridge University, GB	
Nicholas Weaver, ICSI, US 
Dongyan Xu, Purdue University, US	
