Ehab Al-Shaer, University of North Carolina at Charlotte, US
Ross Anderson, University of Cambridge, UK
Frederik Armknecht, University of Mannheim, DE
Giuseppe Ateniese, Sapienza – University of Rome, IT
Davide Balzarotti, EURECOM, FR
Lujo Bauer, Carnegie Mellon University, US
Marina Blanton, University of Notre Dame, US
Kevin Butler, University of Florida, US
Christian Cachin, IBM Research, CH
Barbara Carminati, University of Insubria, IT
Stephen Checkoway, Johns Hopkins University, US
Liqun Chen, HP Labs, UK
Yan Chen, Northwestern University, US
Sherman S.M. Chow, The Chinese University of Hong Kong, HK
Véronique Cortier, CNRS, Loria, FR
Marco Cova, University of Birmingham and Lastline, Inc., UK
Weidong Cui, Microsoft Research, US
Reza Curtmola, New Jersey Institute of Technology, US
Alexei Czeskis, Google, US
George Danezis, University College London, UK
Anupam Datta, Carnegie Mellon University, US
Roberto Di Pietro, Bell Labs, France, FR
Wenliang Du, Syracuse University, US
Orr Dunkelman, University of Haifa, IL
Manuel Egele, Carnegie Mellon University, US
William Enck, North Carolina State University, US
José Fernandez, Polytechnique Montréal , CA
Elena Ferrari, University of Insubria, IT
Philip W. L. Fong, University of Calgary, CA
Cédric Fournet, Microsoft Research, UK
Vinod Ganapathy, Rutgers University, US
Deepak Garg, MPI-SWS, DE
Michael Goodrich, University of California, Irvine, US
Matthew Green, Johns Hopkins University, US
J. Alex Halderman, University of Michigan, US
Amir Herzberg, Bar-Ilan University and TU Darmstadt, IL
Susan Hohenberger, Johns Hopkins University, US
Trent Jaeger, Pennsylvania State University, US
Abhishek Jain, Massachusetts Institute of Technology and Boston University, US
Sanjay Jha, University of New South Wales, AU
Somesh Jha, University of Wisconsin, US
Hongxia Jin, Samsung USA, US
Rob Johnson, Stony Brook University, US
Angelos Keromytis, Columbia University, US
Florian Kerschbaum, SAP, DE
Aggelos Kiayias, National and Kapodistrian University of Athens, GR
Yongdae Kim, KAIST, KR
Ralf Küsters, University of Trier, DE
Dong Hoon Lee, Korea University, KR
Ruby Lee, Princeton University, US
Allison Bishop Lewko, Columbia University, US
Zhichun Li, NEC Research Labs, US
Zhenkai Liang, National University of Singapore, SG
Benoît Libert, ENS Lyon, FR
Zhiqiang Lin, University of Texas at Dallas, US
Long Lu, Stony Brook University, US
John Lui, The Chinese University of Hong Kong, HK
Anna Lysyanskaya, Brown University, US
Z. Morley Mao, University of Michigan, US
Prateek Mittal, Princeton University, US
Refik Molva, EURECOM, FR
Andrew Myers, Cornell University, US
Charalampos Papamanthou, University of Maryland, US
Benny Pinkas, Bar Ilan University, IL
Bart Preneel, KU Leuven and iMinds, BE
Michalis Polychronakis, Columbia University, US
Christina Pöpper, Ruhr-University Bochum, DE
Zhiyun Qian, NEC Research Labs, US
Mariana Raykova, SRI International, US
Mike Reiter, University of North Carolina at Chapel Hill, US
Kui Ren, University at Buffalo, US
Konrad Rieck, University of Göttingen, DE
Rei Safavi-Naini, University of Calgary, CA
Andrei Sabelfeld, Chalmers University of Technology, SE
Ahmad-Reza Sadeghi, Technische Universitaet Darmstadt, DE
Pierangela Samarati, Università degli Studi di Milano, IT
Nitesh Saxena, University of Alabama at Birmingham, US
Kapil Singh, IBM Research, US
Matthew Smith, University of Bonn, DE
Francois-Xavier Standaert, Universite Catholique de Louvain, BE
Graham Steel, Cryptosense and INRIA, FR
Salvatore Stolfo, Columbia University, US
Jakub Szefer, Yale University, US
Gang Tan, Lehigh University, US
Patrick Traynor, University of Florida, US
Mahesh Tripunitara, Universirty of Waterloo, CA
Carmela Troncoso, Gradiant, ES
Michael Waidner, TU Darmstadt and Fraunhofer SIT, DE
Rui Wang, Microsoft Research, US
Bogdan Warinschi, University of Bristol, UK
Guoliang Xue, Arizona State University, US
Danfeng Yao, Virginia Tech, US
Heng Yin, Syracuse University, US
Ting Yu, North Carolina State University, US
Kehuan Zhang, The Chinese University of Hong Kong, HK
Xiangyu Zhang, Purdue University, US
