Gail-Joon Ahn,Arizona State University,
Ehab Al-Shaer,University of North Carolina at Charlotte,
Manos Antonakakis,Georgia Institute of Technology,
Frederik Armknecht,University of Mannheim,Germany
Michael Backes,Saarland Univ. and MPI-SWS,
Davide Balzarotti,EURECOM,
Gilles Barthe,IMDEA Software Institute,
Karthikeyan Bhargavan,INRIA,
Alex Biryukov,University of Luxembourg,
Marina Blanton,University of Notre Dame,
Joseph Bonneau,Stanford University & EFF,
Nikita Borisov,University of Illinois at Urbana-Champaign,
Kevin Butler,University of Florida,
Juan Caballero,IMDEA Software Institute,
Christian Cachin,IBM Research,
Srdjan Capkun,ETH Zurich,
Lorenzo Cavallaro,Royal Holloway,University of London
Stephen Checkoway,Johns Hopkins University,
Yan Chen,Northwestern University,
Omar Chowdhury,Purdue University,
George Danezis,University College London,
Alexander De Luca,Google,
Adam Doupé,Arizona State University,
Manuel Egele,Boston University,
William Enck,North Carolina State University,
José Fernandez,Ecole Polytechnique de Montreal,
Dario Fiore,IMDEA Software Institute,
Pierre-Alain Fouque,University Rennes 1,
Michael Franz,University of California,Irvine
Vinod Ganapathy,Rutgers University,
Deepak Garg,MPI-SWS,
Cristiano Giuffrida,VU University Amsterdam,
Vipul Goyal,Microsoft Research India,
J. Alex Halderman,University of Michigan,
William Harris,Georgia Institute of Technology,
Amir Herzberg,Bar-Ilan University,
Thorsten Holz,Ruhr-Universitaet Bochum,
Amir Houmansadr,University of Massachussettes,Amherst
Yan Huang,Indiana University,Bloomington
Trent Jaeger,Pennsylvania State University,
Abhishek Jain,MIT and BU,
Limin Jia,Carnegie Mellon University,
Hongxia Jin,Samsung USA,
Brent Kang,KAIST,
Chris Kanich,University of Illinois at Chicago,
Stefan Katzenbeisser,TU Darmstadt,
Florian Kerschbaum,SAP,
Taesoo Kim,Georgia Institute of Technology,
Yongdae Kim,KAIST,
Engin Kirda,Northeastern University,
Christopher Kruegel,University of California,Santa Barbara
Ralf Kuesters,University of Trier,
Andrea Lanzi,University of Milan,
Peeter Laud,Cybernetica AS,
Wenke Lee,Georgia Institute of Technology,
Ninghui Li,Purdue University,
Zhenkai Liang,National University of Singapore,
Benoît Libert,ENS Lyon,
Zhiqiang Lin,University of Texas at Dallas,
Yao Liu,U. South Florida,
Benjamin Livshits,Microsoft Research,
Long Lu,Stony Brook University,
Ashwin Machanavajjhala,Duke University,
Matteo Maffei,Saarland University,
Sarah Meiklejohn,University College London,
Prateek Mittal,Princeton University,
Ian Molloy,IBM Research,
Arvind Narayanan,Princeton University,
Nick Nikiforakis,Stony Brook University,
Hamed Okhravi,MIT Lincoln Laboratory,
Xinming Ou,Kansas State University,
Charalampos Papamanthou,University of Maryland,
Vern Paxson,University of California,Berkeley / International Computer Science Institute
Mathias Payer,Purdue University,
Roberto Perdisci,University of Georgia,
Adrian Perrig,ETH Zurich,
Roberto Di Pietro,Bell Labs,France
Benny Pinkas,Bar Ilan University,
Christina Pöpper,Ruhr-University Bochum,
Bart Preneel,KU Leuven and iMinds,
Kui Ren,University at Buffalo,
Konrad Rieck,University of Goettingen,
Will Robertson,Northeastern University,
Andrei Sabelfeld,Chalmers University of Technology,
Ahmad-Reza Sadeghi,TU Darmstadt,
Rei Safavi-Naini,University of Calgary,
Nitesh Saxena,University of Alabama at Birmingham,
Jörg Schwenk,Ruhr-Universitaet Bochum,
Hovav Shacham,University of California,San Diego
Abhi Shelat,University of Virginia,
Elaine Shi,University of Maryland,
Kapil Singh,IBM Research,
Matthew Smith,Universitaet Bonn,
Francois-Xavier Standaert,Universite Catholique de Louvain,
Douglas Stebila,Queensland University of Technology,
Gianluca Stringhini,University College London,
Thorsten Strufe,TU Dresden,
Kun Sun,College of William and Mary,
Jakub Szefer,Yale University,
Gang Tan,Lehigh University,
Stefano Tessaro,University of California,Santa Barbara
Mohit Tiwari,University of Texas at Austin,
Patrick Traynor,University of Florida,
Nikos Triandopoulos,RSA Laboratories & Boston University,
Mahesh Tripunitara,University of Waterloo,
Giovanni Vigna,University of California,Santa Barbara
XiaoFeng Wang,Indiana University,Bloomington
Zhi Wang,Florida State University,
Wenyuan Xu,Zhejiang University,
Guoliang Xue,Arizona State University,
Danfeng Yao,Virginia Tech,
Ting Yu,Qatar Computing Research Institute,
David Zage,Sandia National Laboratories,
Kehuan Zhang,The Chinese University of Hong Kong,
Xiangyu Zhang,Purdue University,
Yinqian Zhang,Ohio State University,
Yunlei Zhao,Fudan University,
Sheng Zhong,Nanjing University,
Haojin Zhu,Shanghai Jiaotong University,
Konstantin Beznosov,University of British Columbia,
