Shweta Agrawal,Indian Institute of Technology,India
Gail-Joon Ahn,Arizona State University,USA
Martin Albrecht,Royal Holloway,UK
Manos Antonakakis,Georgia Institute of Technology,US
Frederik Armknecht,University of Mannheim,Germany
Erman Ayday,Bilkent University,Turkey
Michael Backes,Saarland University & MPI-SWS,Germany
Davide Balzarotti,Eurecom,Austria
Karthikeyan Bhargavan,INRIA,France
Alex Biryukov,University of Luxembourg,Luxembourg
Marina Blanton,University of Notre Dame,France
Alexandra Boldyreva,Georgia Institute of Technology,USA
Herbert Bos,Vrije Universiteit / VU University Amsterdam,Netherlands
Elie Bursztein,Google,USA
Kevin Butler,University of Florida,USA
Juan Caballero,IMDEA Software Institute,Spain
Yinzhi Cao,Lehigh University,USA
Srdjan Capkun,ETH Zurich,Switzerland
David Cash,Rutgers University,USA
Lorenzo Cavallaro,Royal Holloway,UK
Yan Chen,Northwestern University,USA
Alessandro Chiesa,UC Berkeley,USA
Yung Ryn (Elisha) Choe,Sandia National Laboratories,USA
Omar Chowdhury,Purdue University,USA
Véronique Cortier,CNRS,France
Dana Dachman-Soled,University of Maryland,USA
George Danezis,University College London,UK
Anupam Datta,Carnegie Mellon University,USA
Alexander De Luca,Google,USA
Rinku Dewri,University of Denver,USA
Adam Doupé,Arizona State University,USA
Tudor Dumitras,University of Maryland,USA
Stefan Dziembowski,University of Warsaw,Poland
Manuel Egele,Boston University,USA
William Enck,North Carolina State University,USA
Dario Fiore,IMDEA Software Institute,Spain
Michael Franz,University of California,USA
Matt Fredrikson,Carnegie Mellon,USA
Xinwen Fu,University of Massachusetts Lowell,USA
Vinod Ganapathy,Rutgers University,USA
Juan Garay,Yahoo Labs,USA
Deepak Garg,Max Planck Institute for Software Systems,Germany
Cristiano Giuffrida,VU University Amsterdam,Netherlands
Ian Goldberg,University of Waterloo,Canada
Zhongshu Gu,IBM T.J. Watson Research Center,USA
Amir Herzberg,Bar Ilan University,Israel
Viet Tung Hoang,University of California,USA
Thorsten Holz,Ruhr-University Bochum,Germany
Amir Houmansadr,University of Massachusetts Amherst,USA
Yan Huang,Indiana University,USA
Tibor Jager,Ruhr-University Bochum,Germany
Abhishek Jain,Johns Hopkins University,USA
Limin Jia,Carnegie Mellon University,USA
Hongxia Jin,Samsung Research America,USA
Brent Kang,KAIST,South Korea
Chris Kanich,University of Illinois at Chicago,USA
Stefan Katzenbeisser,TU Darmstadt,Germany
