Sadia Afroz,UC Berkeley / ICSI,,,,,,,,,,,,,,,
Gail-Joon Ahn,Arizona State University,,,,,,,,,,,,,,,
Ehab Al-Shaer,University of North Carolina Charlotte,,,,,,,,,,,,,,,
Elias Athanasopoulos,University of Cyprus,,,,,,,,,,,,,,,
Foteini Baldimtsi,George Mason University,,,,,,,,,,,,,,,
David Basin,ETH Zurich,,,,,,,,,,,,,,,
Adam Bates,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,
Lujo Bauer,Carnegie Mellon University,,,,,,,,,,,,,,,
Konstantin Beznosov,University of British Columbia,,,,,,,,,,,,,,,
Karthikeyan Bhargavan,INRIA,,,,,,,,,,,,,,,
Alex Biryukov,University of Luxembourg,,,,,,,,,,,,,,,
Jeremiah Blocki,Purdue University,,,,,,,,,,,,,,,
Elette Boyle,IDC Herzliya,,,,,,,,,,,,,,,
Levente Buttyan,"CrySyS Lab, BME",,,,,,,,,,,,,,,
Juan Caballero,IMDEA Software Institute,,,,,,,,,,,,,,,
Joseph Calandrino,Federal Trade Commission,,,,,,,,,,,,,,,
Aylin Caliskan,Princeton University,,,,,,,,,,,,,,,
Yinzhi Cao,Lehigh University,,,,,,,,,,,,,,,
Alvaro A. Cardenas,University of Texas at Dallas,,,,,,,,,,,,,,,
Lorenzo Cavallaro,"Royal Holloway, University of London",,,,,,,,,,,,,,,
Neha Chachra,Facebook,,,,,,,,,,,,,,,
Melissa Chase,Microsoft Research,,,,,,,,,,,,,,,
Haibo Chen,Shanghai Jiao Tong University,,,,,,,,,,,,,,,
Hao Chen,"University of California, Davis",,,,,,,,,,,,,,,
Omar Chowdhury,University of Iowa,,,,,,,,,,,,,,,
Nicolas Christin ,Carnegie Mellon University,,,,,,,,,,,,,,,
Veronique Cortier,"Loria (CNRS, France)",,,,,,,,,,,,,,,
Manuel Costa,Microsoft Research,,,,,,,,,,,,,,,
Scott Coull,FireEye,,,,,,,,,,,,,,,
Weidong Cui,Microsoft Research,,,,,,,,,,,,,,,
Anupam Das,Carnegie Mellon University,,,,,,,,,,,,,,,
Anupam Datta,Carnegie Mellon University,,,,,,,,,,,,,,,
Lucas Davi,University of Duisburg-Essen,,,,,,,,,,,,,,,
Emiliano De Cristofaro,University College London,,,,,,,,,,,,,,,
Tamara Denning,University of Utah,,,,,,,,,,,,,,,
Xuhua Ding,Singapore Management University,,,,,,,,,,,,,,,
Brendan Dolan-Gavitt,New York University,,,,,,,,,,,,,,,
Adam Doupe,Arizona State University,,,,,,,,,,,,,,,
Tudor Dumitras,University of Maryland,,,,,,,,,,,,,,,
Serge Egelman,UC Berkeley / ICSI,,,,,,,,,,,,,,,
Ittay Eyal,Cornell University,,,,,,,,,,,,,,,invite
Sascha Fahl,Saarland University,,,,,,,,,,,,,,,
Christopher Fletcher,NVIDIA/University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,
Aurelien Francillon,EURECOM,,,,,,,,,,,,,,,
Matt Fredrikson,Carnegie Mellon University,,,,,,,,,,,,,,,
Xinyang Ge,Microsoft Research,,,,,,,,,,,,,,,
Daniel Genkin,University of Pennsylvania / University of Maryland,,,,,,,,,,,,,,,
Rosario Gennaro,City College of New York,,,,,,,,,,,,,,,
Phillipa Gill ,University of Massachusetts Amherst,,,,,,,,,,,,,,,
Dov Gordon,George Mason University,,,,,,,,,,,,,,,
Andreas Haeberlen,University of Pennsylvania,,,,,,,,,,,,,,,
J. Alex Halderman,University of Michigan,,,,,,,,,,,,,,,
Shai Halevi,IBM Research,,,,,,,,,,,,,,,
Matthew Hicks,MIT Lincoln Laboratory,,,,,,,,,,,,,,,
Michael Hicks,University of Maryland,,,,,,,,,,,,,,,
Thorsten Holz,Ruhr-Universit&auml;t Bochum,,,,,,,,,,,,,,,invite
Amir Houmansadr,University of Massachusetts Amherst,,,,,,,,,,,,,,,
Yan Huang,Indiana University,,,,,,,,,,,,,,,
Kyu Hyung Lee,University of Georgia,,,,,,,,,,,,,,,
Trent Jaeger,Penn State University,,,,,,,,,,,,,,,
Suman Jana,Columbia University,,,,,,,,,,,,,,,
Limin Jia,Carnegie Mellon University,,,,,,,,,,,,,,,
Yier Jin,University of Central Florida,,,,,,,,,,,,,,,
Aaron Johnson,U.S. Naval Research Laboratory,,,,,,,,,,,,,,,
Philipp Jovanovic,&Eacute; cole Polytechnique F&eacute;d&eacute;rale de Lausanne,,,,,,,,,,,,,,,
Brent ByungHoon Kang,KAIST,,,,,,,,,,,,,,,invite
Aniket Kate,Purdue University,,,,,,,,,,,,,,,
Jonathan Katz,University of Maryland,,,,,,,,,,,,,,,invite
Stefan Katzenbeisser,TU Darmstadt,,,,,,,,,,,,,,,invite
Marcel Keller,University of Bristol,,,,,,,,,,,,,,,
Aggelos Kiayias,University of Edinburgh,,,,,,,,,,,,,,,
Taesoo Kim,Georgia Tech,,,,,,,,,,,,,,,
Yongdae Kim,KAIST,,,,,,,,,,,,,,,
