A. Biryukov,University of Luxembourg,LU.,
A. Canteaut,INRIA,FR.,
D. Catalano,Università di Catania,IT.,
N. Chandran,Microsoft Research,IN.,
M. Chase,Microsoft Research,US.,
J. Daemen,STMicroelectronics,BE and Radboud University,NL.
E. De Mulder,Cryptographic Research,FR.,
M. van Dijk,University of Connecticut,US.,
I. Dinur,Ben-Gurion University,IL.,
P.-A. Fouque,Université de Rennes 1,FR.,
S. Galbraith,Auckland University,NZ.,
S. Garg,University of California,Berkeley,US.
D. Gordon,George Mason University,US.,
J. Groth,University College London,UK.,
S. Ionica,Université de Picardie,FR.,
T. Iwata,Nagoya University,JP.,
A. Kiayias,National and Kapodistrian University of Athens,GR.,
G. Leander,Ruhr Universität Bochum,DE.,
S. Liu,Shanghai Jiao Tong University,CN.,
A. May,Ruhr Universität Bochum,DE.,
W. Meier,University of Applied Science,CH.,
P. Mohassel,Yahoo Labs,US.,
S. Myers,Indiana University,US.,
P. Nguyen,Inria,FR and CNRS/JFLI and University of Tokyo,JP.
K. Nyberg,Aalto University,FI.,
K. Paterson,Royal Holloway Univ. of London,UK.,
T. Peyrin,Nanyang Technological University,SG.,
B. Pinkas,Bar Ilan University,IL.,
D. Pointcheval,Ecole Normale Superieure,FR.,
M. Prabhakaran,University of Illinois,US.,
B. Preneel,KU Leuven,BE.,
M. Raykova,Yale University,US.,
C. Rechberger,TU-Graz,AT and DTU,DK.
M. Rosulek,Oregon State University,US.,
R. Safavi-Naini,University of Calgary,CA.,
A. Scafuro,Boston University,US and Northeastern University,US.
P. Schaumont,Virginia Tech,US.,
D. Schröder,CISPA,Saarland University,DE.
J. H. Seo,Myongji University,KR.,
Y. Seurin,ANSSI,FR.,
A. Shelat,University of Virginia,US.,
N. Smart,University of Bristol,UK.,
R. Steinfeld,Monash University,AU.,
M. Tibouchi,NTT Secure Platform Laboratories,JP.,
