Phil Porras, SRI International
Dan Wallach, Rice University
Gene Tsudik, UC Irvine
Steve Kent, BBN
Marc Dacier, Eurecom
Leendert van Doorn, IBM Watson
Paul van Oorschot, Carelton University (Canada)
Lee Badger, DARPA
William Arbaugh, University of Maryland
Giuseppe Ateniese, Johns Hopkins
John Ioannidis, AT&T Research
Angelos Keromytis, Columbia University
Radia Perlman, Sun
Dan Simon, Microsoft
Diana Smetters, PARC
Andrew Myers, Cornell
Kevin Fu, MIT
Bill Cheswick, Lumeta
Eric Rescorla, RTFM
Martin Abadi, UC Santa Cruz
