William Arbaugh, University of Maryland 
Dirk Balfanz, PARC 
Steve Bellovin, AT&T Research 
Dan Boneh, Stanford University, Program co-chair 
Crispin Cowan, Immunix 
Leendert van Doorn, IBM T.J. Watson Research Center 
David Evans, University of Virginia 
Somesh Jha, UW Madison 
Ari Juels, RSA Labs 
Steve Kent, BBN 
Christopher Kruegel, Technical University Vienna 
Ninghui Li, Purdue 
Pat Lincoln, SRI International 
Niels Provos, Google Inc. 
Eric Rescorla, RTFM 
Tatyana Ryutov, USC Information Sciences Institute 
Dan Simon, Microsoft Research, Program co-chair 
Sean Smith, Dartmouth College 
Dawn Song, CMU 
Paul Syverson, Naval Research Laboratory 
Brent Waters, Princeton University 
Nicholas Weaver, ICSI
