William Arbaugh, University of Maryland, Program co-chair
Hao Chen, University of California, Davis
Crispin Cowan, Novell
Glenn Durfee, Palo Alto Research Center
Kevin Fu, University of Massachusetts, Amherst
Steven Gribble, University of Washington
Yih-Chun Hu, University of Illinois, Urbana-Champaign
Steve Kent, BBN
Angelos Keromytis, Columbia University
Yoshi Kohno, University of California, San Diego
Wenke Lee, Georgia Institute of Technology
Niels Provos, Google
Michael Roe, Microsoft Research, Cambridge
Dan Simon, Microsoft Research, Program co-chair
Sean Smith, Dartmouth College
Dawn Song, CMU
Adam Stubblefield, Independent Security Evaluators
Jonathan Trostle, ASK Consulting & Research, Inc.
Dan Wallach, Rice University
Nicholas Weaver, International Computer Science Institute
Dongyan Xu, Purdue University
