William Arbaugh, University of Maryland
Crispin Cowan, Novell
Angelos Keromytis, Columbia University
Helen Wang, Microsoft Research
Mike Reiter, CMU
Wenke Lee, Georgia Tech
John Ioannidis, Columbia University
Fabian Monrose, Johns Hopkins University
Lee Badger, DARPA
Bill Cheswick, Lumeta
Jonathan Shapiro, Johns Hopkins University
Barton Miller, University of Wisconsin
Trent Jaeger, Penn State University
Jon Callas, PGP
Rodney Thayer, Network World
Charles Clarke, U. Waterloo
Virgil Gligor, University of Maryland
Jesse Walker, Intel
Dan Boneh, Stanford
Sean Smith, Dartmouth
Radia Perlman, Sun
Doug Szajda, Universtiy of Richmond
