Giovanni Vigna, UC Santa Barbara
Giuseppe Ateniese, Johns Hopkins University, USA
Lujo Bauer, Carnegie Mellon University, USA
Adam Barth, Stanford University, USA
Konstantin Beznosov, University of British Columbia, Canada
John Black, University of Colorado at Boulder, USA
Nikita Borisov, University of Illinois at Urbana Champaign, USA
David Brumley, Carnegie Mellon University, USA
Hao Chen, UC Davis, USA
Mihai Christodorescu, IBM Watson, USA
Crispin Cowan, Microsoft, USA
Weidong Cui, Microsoft Research, USA
Vinod Ganapathy, Rutgers University, USA
Tal Garfinkel, VMWare, USA
Jonathon Giffin, Georgia Tech, USA
Virgil Gligor, Carnegie Mellon University, USA
Xuxian Jiang, North Carolina State University, USA
Engin Kirda, Eurecomm, France
Yoshi Kohno, Washington University, USA
Christopher Kruegel, UC Santa Barbara, USA
Wenke Lee, Georgia Tech, USA
Michael Locasto, Dartmouth College, USA
Patrick McDaniel, Penn State University, USA
Fabian Monrose, University of North Carolina, USA
Marco Pistoia, IBM Watson, USA
Adrian Perrig, Carnegie Mellon University, USA
Niels Provos, Google, USA
Mike Reiter, University of North Carolina, USA
Christoph Schuba, Sun Microsystems, USA
R. Sekar, SUNY Stonybrook, USA
Hovav Shacham, UC San Diego, USA
Sean Smith, Dartmouth College, USA
Angelos Stavrou, George Mason University, USA
Zhendong Su, UC Davis, USA
Nicholas Weaver, International Computer Science Institute, USA
