Wenke Lee, Georgia Institute of Technology, USA
Giuseppe Ateniese, Johns Hopkins University, USA
Michael Backes, Saarland University and MPI-SWS, Germany
Michael Bailey, University of Michigan, USA
Lujo Bauer, Carnegie Mellon University, USA
Adam Barth, University of California, Berkeley, USA
Konstantin Beznosov, University of British Columbia, Canada
Nikita Borisov, University of Illinois at Urbana Champaign, USA
David Brumley, Carnegie Mellon University, USA
Srdjan Capkun, ETH Zurich, Switzerland
Hao Chen, University of California, Davis, USA
Yan Chen, Northwestern University, USA
Mihai Christodorescu, IBM Watson, USA
Scott Coull, University of North Carolina, USA
Weidong Cui, Microsoft Research, USA
George Danezis, Microsoft Research, UK
David Evans, University of Virginia, USA
Nick Feamster, Georgia Institute of Technology, USA
Vinod Ganapathy, Rutgers University, USA
Tal Garfinkel, VMware, USA
Thorsten Holz, Technical University Vienna, Austria
Engin Kirda, Eurecom, France
Yoshi Kohno, University of Washington, USA
Christian Kreibich, International Computer Science Institute, USA
Christopher Kruegel, University of California, Santa Barbara, USA
Michael Locasto, George Mason University, USA
Phil Porras, SRI International, USA
Adrian Perrig, Carnegie Mellon University, USA
Niels Provos, Google, USA
Moheeb Rajab, Google, USA
Mike Reiter, University of North Carolina, USA
Hovav Shacham, University of California, San Diego, USA
Radu Sion, Stony Brook University, USA
Sean Smith, Dartmouth College, USA
Angelos Stavrou, George Mason University, USA
Patrick Traynor, Georgia Institute of Technology, USA
Nicholas Weaver, International Computer Science Institute, USA
