Adrian Perrig, Carnegie Mellon University, USA
Giuseppe Ateniese, Johns Hopkins University, USA
Suman Banerjee, University of Wisconsin Madison, USA
Lujo Bauer, Carnegie Mellon University, USA
Konstantin Beznosov, University of British Columbia, Canada
Levente Buttyan, Budapest University of Technology and Economics, Hungary
Hao Chen, University of California, Davis, USA
Yan Chen, Northwestern University, USA
Mihai Christodorescu, IBM Watson, USA
Weidong Cui, Microsoft Research, USA
David Evans, University of Virginia, USA
Thorsten Holz, Ruhr-University Bochum, Germany
Yih-Chun Hu, University of Illinois at Urbana Champaign, USA
Collin Jackson, Carnegie Mellon University, USA
Christian Kreibich, International Computer Science Institute, USA
Yongdae Kim, University of Minnesota, USA
Yoshi Kohno, University of Washington, USA
Aravind Iyer, GM India Sciences Laboratory, India
Heejo Lee, Korea University, South Korea
Peng Ning, NC State University, USA
Cristina Nita-Rotaru, Purdue University, USA
Bryan Parno, Microsoft Research, USA
Radha Poovendran, University of Washington, USA
Phil Porras, SRI International, USA
Michael Roe, Microsoft Research, UK
Nitesh Saxena, Polytechnic Institute of New York University, USA
Ehab Al-Shaer, UNCC, USA
Sean Smith, Dartmouth College, USA
Radu Sion, Stony Brook University, USA
Jesse Walker, Intel, USA
Nicholas Weaver, International Computer Science Institute, USA
Brian Weis, Cisco, USA
Yinglian Xie, Microsoft Research, USA
Sencun Zhu, Penn State University, USA
