Radu Sion, Stony Brook University
Ross Anderson, University of Cambridge
Davide Balzarotti, EURECOM Sophia Antipolis
Lujo Bauer, Carnegie Mellon
Konstantin Beznosov, University of British Columbia
Matt Bishop, UC Davis
Nikita Borisov, UIUC
Elie Bursztein, Stanford University
Christian Cachin, IBM Research Zurich
Bogdan Carbunar, Motorola Labs
Jeff Chase, Duke University
Yan Chen, Northwestern University
Landon Cox, Duke University
Marc Dacier, Symantec Research Labs
George Danezis, Microsoft Research
Sven Dietrich, Stevens Institute of Technology
David Evans, University of Virginia
Nick Feamster, Georgia Tech
Carrie Gates, CA Technologies
Russ Housley, Internet Engineering Task Force
Xuxian Jiang, North Carolina State University
Rob Johnson, Stony Brook University
Ari Juels, RSA Labs
Stefan Katzenbeisser, TU Darmstadt
Angelos Keromytis, Columbia University
Yongdae Kim, University of Minnesota
Wenke Lee, Georgia Tech
Brian Levine, UMASS Amherst
Z. Morley Mao, University of Michigan
Patrick McDaniel, Penn State University
John Mitchell, Stanford University
David Molnar, Microsoft Research
Peng Ning, North Carolina State University
Cristina Nita-Rotaru, Purdue University
Bryan Parno, Microsoft Research
Vern Paxson, UC Berkeley / ICSI
Giuseppe Persiano, Universita di Salerno
Mike Reiter, UNC at Chapel Hill
Volker Roth, Freie Universitaet Berlin
Ahmad-Reza Sadeghi, Technical University Darmstadt
Nitesh Saxena, NYU Poly
R. Sekar, Stony Brook University
Elaine Shi, UC Berkeley and Parc
Vitaly Shmatikov, University of Texas at Austin
Alex Snoeren, UC San Diego
Robin Sommer, ICSI
Paul Syverson, Naval Research Laboratory
Doug Szajda, University of Richmond
Wade Trappe, Rutgers University
Arun Venkataramani, UMASS Amherst
Dan Wallach, Rice University
Cliff Wang, US Army Research Office
Helen Wang, Microsoft Research
Nicholas Weaver, ICSI
Peter Williams, Stony Brook University
Dongyan Xu, Purdue University
Moti Yung, Google Inc.
