Lujo Bauer, Carnegie Mellon University, USA
Michael Bailey, University of Michigan, USA
Dirk Balfanz, Google, USA
Davide Balzarotti, EURECOM, France
Juan Caballero, IMDEA, Spain
Srdjan Capkun, ETH Zurich, Switzerland
Yan Chen, Northwestern University, USA
Nicolas Christin, Carnegie Mellon University, USA
Mihai Christodorescu, Qualcomm, USA
William Enck, NC State University, USA
Nick Feamster, Georgia Tech, USA
Vinod Ganapathy, Rutgers University, USA
Guofei Gu, Texas A&M University, USA
Krishna P. Gummadi, MPI-SWS, Germany
Thorsten Holz, Ruhr-University Bochum, Germany
Nicholas Hopper, University of Minnesota, USA
Trent Jaeger, Penn State, USA
Xuxian Jiang, NC State University, USA
Chris Kanich, University of Illinois at Chicago, USA
Apu Kapadia, Indiana University, USA
Engin Kirda, Northeastern University, USA
Christian Kreibich, ICSI, USA
Brian Levine, UMass Amherst, USA
Zhenkai Liang, National University of Singapore, Singapore
Jay Lorch, Microsoft Research, USA
Long Lu, Stony Brook University, USA
Z. Morley Mao, University of Michigan, USA
Jonathan McCune, Google, USA
Prateek Mittal, UC Berkeley, USA
Phil Porras, SRI International, USA
Mike Reiter, UNC Chapel Hill, USA
Thomas Ristenpart, University of Wisconsin, USA
Ahmad-Reza Sadeghi, TU Darmstadt, Germany
Vyas Sekar, Stony Brook University, USA
Asia Slowinska, Vrije Universiteit Amsterdam, The Netherlands
Robin Sommer, ICSI/LBNL, USA
Patrick Tague, Carnegie Mellon University, USA
Gang Tan, Lehigh University, USA
Patrick Traynor, Georgia Institute of Technology, USA
David Wagner, UC Berkeley, USA
Helen Wang, Microsoft Research, USA
XiaoFeng Wang, Indiana University, USA
Matthew Wright, University of Texas at Arlington, USA
Yinglian Xie, Microsoft Research, USA
Dongyan Xu, Purdue University, USA
Wenyuan Xu, University of South Carolina, USA
Ting-Fang Yen, RSA Labs, USA
