Engin Kirda, Northeastern University
Ahmad-Reza Sadeghi, TU Darmstadt
Alina Oprea, RSA Laboratories
Apu Kapadia, Indiana University Bloomington
Ari Juels, Cornell Tech
Benjamin Livshits, Microsoft Research Redmond
Christian Kreibich, Lastline Inc / International Computer Science Institute, Berkeley
Christopher Kruegel, University of California, Santa Barbara
David Brumley, Carnegie Mellon University
David Wagner, University of California, Berkeley
Davide Balzarotti, EURECOM, France
Dongyan Xu, Purdue University
Georgios Portokalidis, Stevens Institute of Technology
Gianluca Stringhini, University College London, UK
Guofei Gu, Texas A&M University
Hayawardh Vijayakumar, Samsung
Heng Yin, Syracuse University
Ivan Martinovic, Oxford University, UK
Juan Caballero, IMDEA, Spain
Long Lu, Stony Brook University
Manuel Egele, Boston University
Michael Bailey, University Illinois at Urbana-Champaign
Nicolas Christin, Carnegie Mellon University
Patrick Traynor, University of Florida
Prateek Mittal, Princeton University
Roberto Perdisci, University of Georgia
Robin Sommer, International Computer Science Institute, Berkeley
Somesh Jha, University of Wisconsin Madison
Srdjan Capkun, ETH Zurich, Switzerland 
Stelios Sidiroglou-Douskos, Massachusetts Institute of Technology
Stephen McCamant, University of Minnesota
Tim Leek, MIT Lincoln Labs
Ting-Fang Yen, E8 Security
Venkat Venkatakrishnan, University of Illinois, Chicago
Wenke Lee, Georgia Institute of Technology
Will Robertson, Northeastern University
William Enck, North Carolina State University
XiaoFeng Wang, Indiana University Bloomington
Yongdae Kim, KAIST, South Korea
Zhenkai Liang, National University of Singapore, Singapore
Zhichun Li, NEC Labs America
Zhiqiang Lin, University of Texas, Dallas
