Manos Antonakakis, Georgia Institute of Technology
Davide Balzarotti, EURECOM
Lujo Bauer, Carnegie Mellon University
Joseph Bonneau, Stanford University & EFF
Nikita Borisov, University of Illinois at Urbana-Champaign
Kevin Butler, University of Florida
Srdjan Capkun, ETH Zurich (Chair)
Nicolas Christin, Carnegie Mellon University
Emiliano De Cristofaro, University College London
William Enck, North Carolina State University
Manuel Egele, Boston University
Guofei Gu, Texas A&M University
Thorsten Holz, Ruhr-University Bochum
Somesh Jha, University of Wisconsin Madison
Ari Juels, Cornell Tech (Shadow Chair)
Jonathan Katz, University of Maryland
Yongdae Kim, KAIST
Engin Kirda, Northeastern University
Farinaz Koushanfar, Rice University
Christopher Kruegel, University of California, Santa Barbara
Wenke Lee, Georgia Institute of Technology
Zhenkai Liang, National University of Singapore
David Lie, University of Toronto
Benjamin Livshits, Microsoft Research
Ivan Martinovic, Oxford University
Prateek Mittal, Princeton University
David Molnar, Microsoft Research
Cristina Nita-Rotaru, Purdue University
Alina Oprea, RSA Laboratories
Adrian Perrig, ETH Zurich
Christina Poepper, Ruhr University Bochum
Mike Reiter, UNC Chapel Hill
Thomas Ristenpart, Cornell Tech
Franziska Roesner, University of Washington
Andrei Sabelfeld, Chalmers University
Ahmad-Reza Sadeghi, TU Darmstadt
Reza Shokri, University of Texas at Austin
Robin Sommer, International Computer Science Institute, Berkeley
Patrick Traynor, University of Florida
Venkat Venkatakrishnan, University of Illinois, Chicago
Giovanni Vigna, UC Santa Barbara
David Wagner, University of California, Berkeley
XiaoFeng Wang, Indiana University Bloomington
