Johanna Amann, ICSI
Manos Antonakakis, Georgia Institute of Technology
Erman Ayday, Bilkent University
Davide Balzarotti, EURECOM
David Barrera, ETH Zurich  
Adam Bates, University of Illinois Urbana Champaign (UIUC)
Lujo Bauer, Carnegie Mellon University
Alex Biryukov, University of Luxembourg
Kevin Butler, University of Florida
Nicolas Christin, Carnegie Mellon University
Dana Dachman-Soled, University of Maryland
Anupam Datta, Carnegie Mellon University
Emiliano De Cristofaro, University College London
Tudor Dumitras, University of Maryland
Manuel Egele, Boston University
William Enck, North Carolina State University
David Evans, University of Virginia
Ittay Eyal, Cornell University
Domenic Forte, University of Florida
Aurelien Francillon, EURECOM
Matt Fredrikson, Carnegie Mellon University
Guofei Gu, Texas A&M University
J. Alex Halderman, University of Michigan
Amir Herzberg, Bar Ilan University
Amir Houmansadr, University of Massachusetts Amherst
Yier Jin, UCF
Jaeyeon Jung, Microsoft Research
Yongdae Kim, KAIST
Engin Kirda, Northeastern University
Farinaz Koushanfar, UCSD
Ralf Küsters, University of Trier
Wenke Lee, Georgia Institute of Technology
Zhenkai Liang, National University of Singapore
Benjamin Livshits, Microsoft Research
Long Lu, Stony Brook University
Ivan Martinovic, Oxford University
Jonathan McCune, Google
Patrick McDaniel, Pennsylvania State University
Sarah Meiklejohn, University College London
Andrew Miller, UMD / UIUC
Prateek Mittal, Princeton University
Muhammad Naveed, USC
Steven Murdoch, University College London
Steven Myers, Indiana University Bloomington
Alina Oprea, Northeastern University
Charalampos Papamanthou, University of Maryland
Chunyi Peng, The Ohio State University
Christina Poepper, New York University Abu Dhabi 
Raluca Ada Popa, University of California, Berkeley
Mike Reiter, UNC Chapel Hill
Will Robertson, Northeastern University
Ahmad-Reza Sadeghi, TU Darmstadt
Vyas Sekar, CMU
Abhi Shelat, University of Virginia
Reza Shokri, Cornell Tech
Tom Shrimpton, University of Florida
Ed Suh, Cornell University
Stefano Tessaro, UCSB
Nikos Triandopoulos, Boston University
Venkat Venkatakrishnan, University of Illinois Chicago
XiaoFeng Wang, Indiana University Bloomington
Dongyan Xu, Purdue University
Yinqian Zhang, The Ohio State University
