William Arbaugh, University of Maryland, USA
Michael Backes, IBM Research, Switzerland
Josh Benaloh, Microsoft Research, USA
Marc Dacier, EURECOM, France
Hervé Debar, France Telecom R&D, France
George Dinolt, Naval Postgraduate School, USA
Riccardo Focardi, University of Venice, Italy
Virgil Gligor, University of Maryland, USA
Peter Guttmann, University of Auckland, New Zealand
Dogan Kesdogan, RWTH Aachen, Germany
Helmut Kurth, atsec, Germany
Wenke Lee, Georgia Institute of Technology, USA
Roy Maxion, Carnegie Mellon University, USA
John McHugh, Carnegie Mellon University, USA
Catherine Meadows, Naval Research Laboratory, USA
Vern Paxson, ICSI / LBNL, USA (PC co-chair)
Radia Perlman, Sun Microsystems, USA
Birgit Pfitzmann, IBM Research, Switzerland
Joachim Posegga, University of Hamburg, Germany
Niels Provos, Google Inc., USA
Josyula R. Rao, IBM Research, USA
Mike Reiter, Carnegie Mellon University, USA
Eric Rescorla, RTFM, USA
Rei Safavi-Naini, University of Wollongong, Australia
Pierangela Samarati, Universita degli Studi di Milano, Italy
Andrei Serjantov, The Free Haven Project, UK
Giovanni Vigna, University of California, Santa Barbara, USA
Michael Waidner, IBM Research, Switzerland (PC co-chair)
Dan Wallach, Rice University, USA
Andreas Wespi, IBM Research, Switzerland
Marianne Winslett, University of Illinois at Urbana-Champaign, USA
Vern Paxson, ICSI, USA
Michael Waidner, IBM Zurich Research Lab, Switzerland
