Paul Ammann, George Mason University, USA
Tuomas Aura, Microsoft Research, UK
Michael Backes, IBM Research, Switzerland
Elisa Bertino, Purdue University, USA
Peter Chen, University of Michigan, USA
Robert Cunningham, MIT Lincoln Laboratory, USA
George Danezis, Cambridge University, UK
Drew Dean, SRI International, USA
Hervé Debar, France Telecom R&D, France
Nick Feamster, Georgia Tech, USA
Kevin Fu, University of Massachusetts Amherst, USA
Philippe Golle, Palo Alto Research Center, USA
Steven Gribble, University of Washington, USA
Richard Kemmerer, UC Santa Barbara, USA
Angelos Keromytis, Columbia University, USA
Christopher Kruegel, Technical University Vienna, Austria
Michiharu Kudo, IBM Research, Japan
Helmut Kurth, Atsec Information Security, Germany
Ralf Küsters, University of Kiel, Germany
Susan Landau, Sun Microsystems, USA
Carl Landwehr, University of Maryland, USA
Marc Langheinrich, ETH Zurich, CH
Ludovic Mé, Supélec, France
Adrian Perrig, Carnegie Mellon University, USA
Michaël Rusinowitch, INRIA Lorraine, France
Andrei Sabelfeld, Chalmers University, Sweden
Stefan Savage, UC San Diego, USA
Sean Smith, Dartmouth College, USA
Salvatore Stolfo, Columbia University, USA
Doug Tygar, UC Berkeley, USA
Paul van Oorschot, Carleton University, Canada
David Wagner, UC Berkeley, USA
Helen Wang, Microsoft Research, USA
Rebecca Wright, Stevens Institute of Technology, USA
Vern Paxson, ICSI and LBNL, USA
Birgit Pfitzmann, IBM Zurich Research Lab, Switzerland
