Tuomas Aura, Microsoft Research, UK
Dirk Balfanz, Palo Alto Research Center, USA
Steve Bellovin, Columbia University, USA
Elisa Bertino, CERIAS and CS Department, Purdue University, USA
Matt Blaze, University of Pennsylvania, USA
Piero Bonatti, Università di Napoli, Italy
Christian Cachin, IBM Zurich Research Lab, Switzerland
Crispin Cowan, Novell, USA
Robert Cunningham, MIT Lincoln, USA
Anupam Datta, Stanford University, USA
Dawson Engler, Stanford University, USA
Cédric Fournet, Microsoft Research, UK
Virgil Gligor, University of Maryland, USA
Trent Jaeger, Penn State University, USA
Somesh Jha, University of Wisconsin, USA
Yongdae Kim, U Minnesota Twin Cities, USA
Yoshi Kohno, University of Washington, USA
Christopher Kruegel, Technical University Vienna, Austria
Peeter Laud, Tartu University, Estonia
Wenke Lee, Georgia Institute of Technology, USA
Yingjiu Li, Singapore Management University, Singapore
Ninghui Li, Purdue University, USA
Anna Lysyanskaya, Brown University, USA
Fabian Monrose, Johns Hopkins University, USA
Ken Moody, University of Cambridge, UK
Jörn Müller-Quade, TH Karlsruhe, Germany
Andrew Myers, Cornell University, USA
Juha Röning, University of Oulu, Finland
R. Sekar, State University of New York at Stony Brook, USA
Diana Smetters, Palo Alto Research Center, USA
Sean Smith, Dartmouth College, USA
Michael Steiner, IBM TJ Watson Research Center, USA
Salvatore Stolfo, Columbia U, USA
Paul van Oorschot, Carleton University, Canada
Dan Wallach, Rice University, USA
Helen Wang, Microsoft Research, USA
Diego Zamboni, IBM Zurich Research Lab, Switzerland
Birgit Pfitzmann, IBM Zurich Research Lab, Switzerland
Patrick McDaniel, Penn State University USA
