William Aiello, University of British Columbia, Canada 
Elisa Bertino, CERIAS and CS Department, Purdue University, USA
Matt Blaze, University of Pennsylvania, USA 
Christian Cachin, IBM Zurich Research Lab, Switzerland 
Crispin Cowan, Novell, USA 
Robert Cunningham, MIT Lincoln, USA 
David Evans, University of Virginia, USA 
Kevin Fu, UMass, USA 
Michael Franz, UCI, USA 
Carl Landwehr, DTO, USA 
Yingjiu Li, Singapore Management University, Singapore 
Jonathon Giffin, Georgia Institute of Technology, USA 
Virgil Gligor, University of Maryland, USA 
Steven Gribble, University of Washington, USA
Susan Hohenberger, Johns Hopkins University, USA
Trent Jaeger, Penn State University, USA 
Somesh Jha, University of Wisconsin, USA 
Ari Juels, RSA, USA 
Angelos Keromytis, Columbia University, USA	
Yongdae Kim, University of Minnesota Twin Cities, USA 
Yoshi Kohno, University of Washington, USA 
Christopher Kruegel, Technical University Vienna, Austria 
Andrew Myers, Cornell University, USA 
Wenke Lee, Georgia Institute of Technology, USA 
Ninghui Li, Purdue University, USA 
Gary McGraw, Cigital, USA 
Fabian Monrose, Johns Hopkins University, USA 
Hilarie Orman, Purple Streak, USA 
Vern Paxson, ICSI/Berkeley 
Atul Prakash, University of Michigan, USA 
Niels Provos, Google, USA 
Steve Zdancewic, University of Pennsylvania, USA 
R. Sekar, State University of New York at Stony Brook, USA 
Dawn Song, CMU, USA 
Sean Smith, Dartmouth College, USA 
Adam Stubblefield, Independent Security Evaluators, USA 
Gene Tsudik, UCI, USA 
Dan Wallach, Rice University, USA 
David Wagner, UCB, USA 
Patrick McDaniel, Pennsylvania State University, USA
Avi Rubin, Johns Hopkins University, USA
