Ben Adida, Harvard University, USA
William Aiello, University of British Columbia, Canada
Ross Anderson, Cambridge University, UK
Michael Backes, Saarland University and MPI-SWS, Germany
Srdjan Capkun, ETH Zürich, Switzerland
Miguel Castro, Microsoft Research Cambridge, UK
Hao Chen, University of California, Davis, USA
Jed Crandall, University of New Mexico, USA
Bruno Crispo, University of Trento, Italy
Weidong Cui, Microsoft Research, Redmond, USA
George Danezis, Microsoft Research, Cambridge, UK
Úlfar Erlingsson, Reykjavik University, Iceland
David Evans, University of Virginia, USA (Co-Chair)
Michael Freedman, Princeton University, USA
Kevin Fu, University of Massachusetts, USA
Jonathon Giffin, Georgia Institute of Technology, USA
Ian Goldberg, University of Waterloo, Canada
Andrew D. Gordon, Microsoft Research Cambridge, UK
Steven Gribble, University of Washington, USA
Guofei Gu, Texas A&M University, USA
Peter Guttmann, University of New Auckland, NZ
Michael Hicks, University of Maryland, USA
Farnam Jahanian, University of Michigan, USA
Xuxian Jiang, North Carolina State University, USA
Jonathan Katz, University of Maryland, USA
Samuel King, University of Illinois, Urbana-Champaign, USA
Yoshi Kohno, University of Washington, USA
Farinaz Koushanfar, Rice University, USA
Wenke Lee, Georgia Institute of Technology, USA
Kristen LeFevre, University of Michigan, USA
David Lie, University Toronto, Canada
John Mitchell, Stanford University, USA
Greg Morrisett, Harvard University, USA
Andrew Myers, Cornell University, USA (Co-Chair)
Peng Ning, North Carolina State University, USA
Reiner Sailer, IBM TJ Watson Research Center
Stefan Savage, University of California, San Diego, USA
R. Sekar, Stony Brook University, USA
Umesh Shankar, Google, New York, USA
Abhi Shelat, University of Virginia, USA
Vitaly Shmatikov, University of Texas, Austin, USA
Radu Sion, Stony Brook University, USA
Patrick Traynor, Georgia Tech, USA
Doug Tygar, University of California, Berkeley, USA
Giovanni Vigna, University of California, Santa Barbara, USA
David Wagner, University of California, Berkeley, USA
Haining Wang, College of William and Mary, USA
Brent Waters, University of Texas, Austin, USA
Rebecca Wright, Rutgers University, USA
Steve Zdancewic, University of Pennsylvania, USA
