Giuseppe Ateniese, Johns Hopkins University
Michael Backes, Saarland University and Max Planck Institute for Software Systems
Michael Bailey, University of Michigan
Lujo Bauer, Carnegie Mellon University
David Brumley, Carnegie Mellon University
Cristian Cadar, Imperial College London
Shuo Chen, Microsoft Research
Weidong Cui, Microsoft Research
Robert Cunningham, MIT Lincoln Laboratory
Anupam Datta, Carnegie Mellon University
Roger Dingledine, The Tor Project
David Evans, University of Virginia
Nick Feamster, GeorgiaTech
Kevin Fu, UMass Amherst
Debin Gao, Singapore Management University
Jonathon Giffin, GeorgiaTech
Steven Gribble, University of Washington
Virgil Gligor, Carnegie Mellon University
Guofei Gu, Texas A&M University
Thorsten Holz, Bochum University, Germany
Trent Jaeger, Penn State University
Farnam Jahanian, University of Michigan
Yoshi Kohno, University of Washington
Engin Kirda, Eurecom, France
Shriram Krishnamurthi, Brown University
Christopher Kruegel, UC Santa Barbara
Wenke Lee, Georgia Tech
Benjamin Livshits, Microsoft Research
Michael Locasto, University of Calgary
Sergio Maffeis, Imperial College London
Z. Morley Mao, University of Michigan
Jonathan McCune, Carnegie Mellon University
Patrick McDaniel, Penn State University
John Mitchell, Stanford University
David Molnar, Microsoft Research
Andrew Myers, Cornell University
Cristina Nita-Rotaru, Purdue University
Adrian Perrig, Carnegie Mellon University
Mike Reiter, University of North Carolina
Will Robertson, UC Berkeley
Hovav Shacham, UC San Diego
Stuart Schechter, Microsoft Research
R. Sekar, Stony Brook University
Radu Sion, Stony Brook University
Sean Smith, Dartmouth College
Angelos Stavrou, George Mason University
Ed Suh, Cornell University
Patrick Traynor, Georgia Tech
Venkat Venkatakrishnan, University of Illinois, Chicago
David Wagner, UC Berkeley
Dan Wallach, Rice University
XiaoFeng Wang, Indiana University
Brent Waters, UT Austin
