Giuseppe Ateniese, Johns Hopkins
Michael Backes, Max Planck Institute
Michael Bailey, University of Michigan
Kevin Borders, NSA
Herbert Bos, Vrije Universiteit Amsterdam      
David Brumley, Carnegie Mellon University
Kevin Butler, University of Oregon
Juan Caballero, IMDEA Software Institute, Spain
Cristian Cadar, Imperial College
Shuo Chen, Microsoft Research
Weidong Cui, Microsoft Research
Robert Cunningham, MIT Lincoln Laboratory
Anupam Datta, Carnegie Mellon University      
William Enck, North Carolina State
David Evans, University of Virginia
Nick Feamster, Georgia Tech
Debin Gao, Singapore Management Univ.
Jonathon Giffin, Georgia Tech
Virgil Gligor, Carnegie Mellon University     
Steven Gribble, University of Washington
Guofei Gu, Texas A&M
Engin Kirda, Northeastern
Shriram Krishnamurthi, Brown University
Christopher Kruegel, UCSB
David Molnar, Microsoft Research
Cristina Nita-Rotaru, Purdue
Brian Payne, Sandia National Labs
Adrian Perrig, Carnegie Mellon University
J. Alex Halderman, University of Michigan      
Thorsten Holz, ISEC Lab
Ninghui Li, Purdue 
Benjamin Livshits, Microsoft Research
Z. Morley Mao, University of Michigan
Jonathan McCune, Carnegie Mellon University
Patrick McDaniel, Penn State 
Andrew Myers, Cornell
Arvind Narayanan, Stanford   
Roberto Perdisci, University of Georgia
Zachary N. J. Peterson, Naval Postgrad. School 
Thomas Ristenpart, University of Wisconsin
Will Robertson, Berkeley   
R. Sekar, Stony Brook
Greg Shannon, Carnegie Mellon Univ./CERT      
Kapil Singh, IBM Research
Radu Sion, Stony Brook 
Angelos Stavrou, Goerge Mason University
Patrick Traynor, Georgia Tech  
Dan Wallach, Rice University
XiaoFeng Wang, Indiana University  
Simha Sethumadhavan, Columbia
Venkat Venkatakrishnan, U. of Illinois, Chicago
Yoshi Kohno, University of Washington
