Mikhail Atallah, Purdue University
David Basin, ETH Zürich
Lujo Bauer, Carnegie Mellon University
Konstantin Beznosov, University of British Columbia
Juan Caballero, IMDEA Software Institute
Christian Cachin, IBM Research - Zürich
Srdjan Capkun, ETH Zürich
Nicolas Christin, Carnegie Mellon University
Weidong Cui, Microsoft Research
Marc Dacier, Symantec Research Labs
George Danezis, University College London
Anupam Datta, Carnegie Mellon University
Roberto DiPietro, University of Rome III
William Enck, North Carolina State University
Marc Fischlin, Technical University of Darmstadt
Deepak Garg, MPI-SWS
Virgil Gligor, Carnegie Mellon University
Krishna P. Gummadi, MPI-SWS
Christian Hammer, Saarland University
Cormac Herley, Microsoft Research
Thorsten Holz, Ruhr-University Bochum
Nicholas Hopper, University of Minnesota
Yih-Chun Hu, UIUC
Markus Jakobsson, Qualcomm
Xuxian Jiang, North Carolina State University
Aaron Johnson, Naval Research Laboratory
Ari Juels, RSA Labs
Apu Kapadia, Indiana University
Yongdae Kim, Korea Advanced Institute of Science and Technology
Yoshi Kohno, University of Washington
Farinaz Koushanfar, Rice University
Christian Kreibich, ICSI
Heejo Lee, Korea University
Ninghui Li, Purdue University
Yingjiu Li, Singapore Management University
David Lie, University of Toronto
Jonathan McCune, Google
Greg Morrisett, Harvard University
Alina Oprea, RSA Labs
Bryan Parno, Microsoft Research
Vern Paxson, UC Berkeley / ICSI
Benny Pinkas, University of Haifa
Phil Porras, SRI International
Niels Provos, Google
Volker Roth, Freie Universität Berlin
Andrei Sabelfeld, Chalmers University of Technology
Prateek Saxena, National University of Singapore
Radu Sion, Stony Brook University
Matthew Smith, University of Hannover
Frank Stajano, Cambridge University
Patrick Traynor, Georgia Institute of Technology
Venkat Venkatakrishnan, University of Illinois, Chicago
XiaoFeng Wang, Indiana University
