Michael Bailey, University of Illinois at Urbana Champaign
David Basin, ETH Zurich
Lujo Bauer, Carnegie Mellon University
Konstantin Beznosov, University of British Columbia
Joseph Bonneau, Stanford University & EFF
Herbert Bos, Vrije Universiteit / VU University Amsterdam
Srdjan Capkun, ETH Zurich
Hao Chen, UC Davis
Shuo Chen, Microsoft Research
Nicolas Christin, Carnegie Mellon University
Emiliano De Cristofaro, UCL
David Evans, University of Virginia
Bryan Ford, Yale University
Cédric Fournet, Microsoft Research
Deepak Garg, MPI-SWS
Matthew Green, Johns Hopkins University
Carl Gunter, University of Illinois
Nadia Heninger, University of Pennsylvania
Cormac Herley, Microsoft Research
Michael Hicks, University of Maryland, College Park
Sotiris Ioannidis, Foundation for Research and Technology - Hellas
Trent Jager, Pennsylvania State University
Limin Jia, Carnegie Mellon University
Ari Juels, Cornell Tech
Chris Kanich, University of Illinois at Chicago
Jonathan Katz, University of Maryland, College Park
Yongdae Kim, KAIST
Farinaz Koushanfar, Rice University
Ralf Kuesters, University of Trier
David Lie, University of Toronto
Michelle Mazurek, University of Maryland, College Park
Jelena Mirkovic, USC ISI
Greg Morrisett, Harvard University
Andrew Myers, Cornell University
Arvind Narayanan, Princeton University
Alina Oprea, RSA Labs
Bryan Parno, Microsoft Research
Frank Piessens, KU Leuven
Raluca Ada Popa, MIT
Niels Provos, Google
Mike Reiter, UNC Chapel Hill
Thomas Ristenpart, University of Wisconsin
Will Robertson, Northeastern University
Franziska Roesner, University of Washington
Andrei Sabelfeld, Chalmers University
Prateek Saxena, National University of Singapore
Vyas Sekar, Carnegie Mellon University
Vitaly Shmatikov, University of Texas at Austin
Matthew Smith, University of Bonn
Robin Sommer, ICSI/LBNL
Jessica Staddon, Google
Ed Suh, Cornell University
Mohit Tiwari, University of Texas at Austin
Haining Wang, University of Delaware
Robert Watson, University of Cambridge
Matthew Wright, University of Texas at Arlington
Dongyan Xu, Purdue University
Xiaowei Yang, Duke University
Vinod Yegneswaran, SRI International
Ben Zhao, UC Santa Barbara
