Sadia Afroz,ICSI
Davide Balzarotti,EURECOM
Adam Barth,Google
Karthikeyan Bhargavan,INRIA
Joseph Bonneau,Stanford / EFF
Nikita Borisov,UIUC
Kevin Butler,U. of Florida
Stephen Checkoway,UIC
Haibo Chen,SJTU
Adam Chlipala,MIT
Nicolas Christin,CMU
Manuel Costa,MSRC
Emiliano De Cristofaro,UCL
Ittay Eyal,Cornell
Adrienne Porter Felt,Google
Arjun Guha,UMass
Andreas Haeberlen,UPenn
Nadia Heninger,UPenn
Jason Hong,CMU
Amir Houmansadr,UMass
Brent Kang,KAIST
Chris Kanich,UIC
Samuel King,Twitter
Aleksandra Korolova,USC
David Lie,Toronto
Jay Lorch,MSR
Matteo Maffei,"CISPA, Saarland"
David Mazières,Stanford
Ilya Mironov,Google
Cristina Nita-Rotaru,Northeastern
Marcus Peinado,MSR
Frank Piessens,KU Leuven
Benny Pinkas,BIU
Mike Reiter,UNC Chapel Hill
Franziska Roesner,U. of Washington
Ulrich Rührmair,U. of Bochum
Prateek Saxena,Singapore
Thomas Schneider,TU Darmstadt
Vyas Sekar,CMU
Simha Sethumadhavan,Columbia
Hovav Shacham,ICSI / UCSD
Elaine Shi,Cornell
Emin Gun Sirer,Cornell
Matthew Smith,U. Bonn
Nikhil Swamy,MSR
Nina Taft,Google
Gang Tan,Lehigh
Mohit Tiwari,U. of Texas at Austin
Eran Tromer,TAU
Carmela Troncoso,IMDEA Software
Giovanni Vigna,UCSB
Bogdan Warinschi,Bristol University
Robert Watson,U. of Cambridge
Tao Xie,UIUC
Jean Yang,CMU
Junfeng Yang,Columbia
Ben Zhao,UCSB
Yinqian Zhang,Ohio State
