Michael Backes, Saarland University
Davide Balzarotti, EURECOM
Gilles Barthe, IMDEA
Lujo Bauer, CMU
Karthikeyan Bhargavan, INRIA
Joseph Bonneau, Stanford
Nikita Borisov, UIUC
Herbert Bos, VU University
Kevin Butler, University of Florida
Srdjan Capkun, ETH Zurich
Stephen Checkoway, UIC
Haibo Chen, SJTU
Manuel Costa, MSR
Cas Cremers, Oxford
Srini Devadas, MIT
Tudor Dumitras, University of Maryland
David Evans, University of Virginia
Cédric Fournet, MSR
Matt Fredrikson, CMU
Roxana Geambasu, Columbia
Saikat Guha, MSR
Andreas Haeberlen, University of Pennsylvania
Matthew Hicks, MIT Lincoln Laboratory
Michael Hicks, University of Maryland
Jason Hong, CMU
Amir Houmansadr, UMass
Rob Johnson, Stony Brook
Brent Kang, KAIST
Brad Karp, UCL
Jay Lorch, MSR
Matteo Maffei, Saarland University
Sergio Maffeis, Imperial
Michelle Mazurek, University of Maryland
James Mickens, Harvard
Andrew Miller, UIUC
Ilya Mironov, Google
Cristina Nita-Rotaru, Northeastern
Alina Oprea, Northeastern
Marcus Peinado, MSR
Frank Piessens, KU Leuven
Niels Provos, Google
Mariana Raykova, Yale
Franziska Roesner, University of Washington
Ulrich Rührmair, University of Bochum
Andrei Sabelfeld, Chalmers
Vyas Sekar, CMU
Simha Sethumadhavan, Chip Scan/Columbia
Nigel Smart, University of Bristol
Alex Snoeren, UCSD
Nikhil Swamy, MSR
Gang Tan, Penn State
Abhradeep Thakurta, Apple
Kurt Thomas, Google
Carmela Troncoso, IMDEA
Giovanni Vigna, UCSB
Bogdan Warinschi, University of Bristol
Robert Watson, Cambridge
Emmett Witchel, UT Austin
Tao Xie, UIUC
Yinqian Zhang, Ohio State
