Heather Adkins, Google
Steve Bellovin, Columbia University
Dan Boneh, Stanford University
Peter Chen, University of Michigan
Carl Ellison, Microsoft
Eu-Jin Goh, Stanford University
Trent Jaeger, IBM Research
Somesh Jha, University of Wisconsin
Angelos Keromytis, Columbia University
Yoshi Kohno, University of California, San Diego
Tal Malkin, Columbia University
Fabian Monrose, Johns Hopkins University
Radia Perlman, Sun Microsystems Laboratories
Adrian Perrig, Carnegie Mellon University
Niels Provos, Google
R. Sekar, Stony Brook University
Adam Stubblefield, Johns Hopkins University
Paul van Oorschot, Carleton University
Dan Wallach, Rice University
