Paul Barford, University of Wisconsin
Dan Boneh, Stanford University
Bill Cheswick, AT&T Labs—Research
David Dagon, Georgia Institute of Technology
George Danezis, Microsoft Research
Rachna Dhamija, Harvard University
Virgil Gligor, Carnegie Mellon University
Ian Goldberg, University of Waterloo
Trent Jaeger, Pennsylvania State University
Somesh Jha, University of Wisconsin
Angelos Keromytis, Columbia University
Yoshi Kohno, University of Washington
Wenke Lee, Georgia Institute of Technology
David Lie, University of Toronto
Z. Morley Mao, University of Michigan
Fabian Monrose, Johns Hopkins University
Mike Reiter, University of North Carolina
R. Sekar, Stony Brook University
Micah Sherr, University of Pennsylvania
Anil Somayaji, Carleton University
Angelos Stavrou, George Mason University
Patrick Traynor, Pennsylvania State University
Leendert van Doorn, AMD
Wietse Venema, IBM Research
Xiaolan Zhang, IBM Research
