Lucas Ballard, Google, Inc.
Adam Barth, University of California, Berkeley
Steve Bellovin, Columbia University
Nikita Borisov, University of Illinois at Urbana-Champaign
Bill Cheswick, AT&T Labs—Research
George Danezis, Microsoft Research
Rachna Dhamija, Harvard University
Vinod Ganapathy, Rutgers University
Tal Garfinkel, VMware and Stanford University
Jonathon Giffin, Georgia Institute of Technology
Steven Gribble, University of Washington
J. Alex Halderman, University of Michigan
Cynthia Irvine, Naval Postgraduate School
Somesh Jha, University of Wisconsin
Samuel King, University of Illinois at Urbana-Champaign
Negar Kiyavash, University of Illinois at Urbana-Champaign
David Lie, University of Toronto
Michael Locasto, George Mason University
Mohammad Mannan, University of Toronto
Niels Provos, Google, Inc.
Reiner Sailer, IBM T.J. Watson Research Center
R. Sekar, Stony Brook University
Hovav Shacham, University of California, San Diego
Micah Sherr, University of Pennsylvania
Patrick Traynor, Georgia Institute of Technology
David Wagner, University of California, Berkeley
Helen Wang, Microsoft Research
Tara Whalen, Office of the Privacy Commissioner of Canada
