Ben Adida, Harvard University
Lucas Ballard, Google, Inc.
Robert Biddle, Carleton University
Miguel Castro, Microsoft Research
Bill Cheswick, AT&T Labs—Research
Sonia Chiasson, Carleton University
Claudia Diaz, Katholieke Universiteit Leuven
William Enck, Pennsylvania State University
David Evans, University of Virginia
Carrie Gates, CA Technologies
Jonathon Giffin, Georgia Institute of Technology
Ian Goldberg, University of Waterloo
Matthew Green, Johns Hopkins University
Collin Jackson, Carnegie Mellon University
Somesh Jha, University of Wisconsin, Madison
Rob Johnson, Stony Brook University
Samuel King, University of Illinois at Urbana-Champaign
Yoshi Kohno, University of Washington
Wenke Lee, Georgia Institute of Technology
Vern Paxson, University of California, Berkeley
Niels Provos, Google, Inc.
Eric Rescorla, RTFM, Inc.
Will Robertson, University of California, Berkeley
Hovav Shacham, University of California, San Diego
Micah Sherr, Georgetown University
Diana Smetters, Google, Inc.
Dan Wallach, Rice University
Helen Wang, Microsoft Research
Tara Whalen, Office of the Privacy Commissioner of Canada
Yinglian Xie, Microsoft Research
Wenyuan Xu, University of South Carolina 
