Ben Adida, Mozilla
Nikita Borisov, University of Illinois at Urbana-Champaign
David Brumley, Carnegie Mellon University
Kelly Caine, Indiana University
Srdjan Capkun, ETH
Sonia Chiasson, Carleton University
Mihai Christodorescu, IBM T.J. Watson Research Center
Anupam Datta, Carnegie Mellon University
William Enck, North Carolina State University
David Evans, University of Virginia
Kevin Fu, University of Massachusetts Amherst
Carrie Gates, CA Technologies
Roxana Geambasu, Columbia University
Ian Goldberg, University of Waterloo
Matthew Green, Johns Hopkins University
Urs Hengartner, University of Waterloo
Jaeyeon Jung, Microsoft Research
Samuel King, University of Illinois at Urbana-Champaign
Engin Kirda, Northeastern University
Christian Kreibich, International Computer Science Institute
Kirill Levchenko, University of California, San Diego
David Lie, University of Toronto
Jonathan McCune, Carnegie Mellon University
David Molnar, Microsoft Research
Alex Moshchuk, Microsoft Research
Steven Murdoch, University of Cambridge
Cristina Nita-Rotaru, Purdue University
Niels Provos, Google
Vitaly Shmatikov, University of Texas, Austin
Diana Smetters, Google
Dan Wallach, Rice University
