Nikita Borisov, University of Illinois
Elie Bursztein, Google
Srdjan Capkun, ETH Zurich
Shuo Chen, Microsoft Research
Sonia Chiasson, Carleton University
Adam Chlipala, Massachusetts Institute of Technology
William Enck, North Carolina State University
Adrienne Porter Felt, Google
Kevin Fu, University of Michigan
Roxana Geambasu, Columbia University
Ian Goldberg, University of Waterloo
Matthew Green, John Hopkins University
Chris Grier, University of California, Berkeley
Thorsten Holz, Ruhr-Universität Bochum
Jaeyeon Jung, Microsoft Research
Benjamin Livshits, Microsoft Research
Jonathan McCune, Google
Fabian Monrose, University of North Carolina, Chapel Hill
Niels Provos, Google
Prateek Saxena, National University of Singapore
Stuart Schechter, Microsoft Research
Hovav Shacham, University of California, San Diego
Micah Sherr, Georgetown University
Elaine Shi, University of Maryland, College Park
Cynthia Sturton, University of California, Berkeley
Shuo Tang, University of Illinois and Adrenaline Mobility
Patrick Traynor, Georgia Institute of Technology
David Wagner, University of California, Berkeley
Tara Whalen, Carleton University
Michal Zalewski, Google
Nickolai Zeldovich, Massachusetts Institute of Technology
