William Aiello, University of British Columbia
Steve Bellovin, Columbia University
Emery Berger, University of Massachusetts Amherst
Dan Boneh, Stanford University
Nikita Borisov, University of Illinois at Urbana-Champaign
David Brumley, Carnegie Mellon University
Kevin Butler, University of Oregon
Srdjan Capkun, ETH Zürich
Nicolas Christin, Carnegie Mellon University
George Danezis, University College London
Srini Devadas, Massachusetts Institute of Technology
Roger Dingledine, The Tor Project
David Evans, University of Virginia
Nick Feamster, Georgia Institute of Technology
Adrienne Porter Felt, Google
Simson Garfinkel, Naval Postgraduate School
Virgil Gligor, Carnegie Mellon University
Rachel Greenstadt, Drexel University
Steven Gribble, University of Washington and Google
Carl Gunter, University of Illinois at Urbana-Champaign
J. Alex Halderman, University of Michigan
Nadia Heninger, University of Pennsylvania
Thorsten Holz, Ruhr-University Bochum
Jean-Pierre Hubaux, École Polytechnique Fédérale de Lausanne
Cynthia Irvine, Naval Postgraduate School
Jaeyeon Jung, Microsoft Research
Chris Kanich, University of Illinois at Chicago
Engin Kirda, Northeastern University
Yoshi Kohno, Microsoft Research and University of Washington
Farinaz Koushanfar, Rice University
Zhenkai Liang, National University of Singapore
David Lie, University of Toronto
Stephen McCamant, University of Minnesota
Damon McCoy, George Mason University
Patrick McDaniel, Pennsylvania State University
Cristina Nita-Rotaru, Purdue University
Zachary N. J. Peterson, California Polytechnic State University
Raj Rajagopalan, Honeywell Labs
Benjamin Ransford, University of Washington
Thomas Ristenpart, University of Wisconsin—Madison
Prateek Saxena, National University of Singapore
Patrick Schaumont, Virginia Polytechnic Institute and State University
Stuart Schechter, Microsoft Research
Simha Sethumadhavan, Columbia University
Cynthia Sturton, University of North Carolina at Chapel Hill
Wade Trappe, Rutgers University
Eugene Y. Vasserman, Kansas State University
Ingrid Verbauwhede, Katholieke Universiteit Leuven
Giovanni Vigna, University of California, Santa Barbara
David Wagner, University of California, Berkeley
Dan Wallach, Rice University
Rui Wang, Microsoft Research
Matthew Wright, University of Texas at Arlington
Wenyuan Xu, University of South Carolina
