Sadia Afroz, University of California, Berkeley
Devdatta Akhawe, Dropbox
Davide Balzarotti, Eurecom
Igor Bilogrevic, Google
Alexandra Boldyreva, Georgia Institute of Technology
Joseph Bonneau, Stanford University and Electronic Frontier Foundation
Nikita Borisov, University of Illinois at Urbana-Champaign
David Brumley, Carnegie Mellon University
Kevin Butler, University of Florida
Juan Caballero, IMDEA Software Institute
Srdjan Capkun, ETH Zürich
Stephen Checkoway, University of Illinois at Chicago
Nicolas Christin, Carnegie Mellon University
Byung-Gon Chun, Seoul National University
George Danezis, University College London
Tamara Denning, University of Utah
Michael Dietz, Google
Adam Doupé, Arizona State University
Josiah Dykstra, NSA Research
Manuel Egele, Boston University
Serge Egelman, University of California, Berkeley, and International Computer Science Institute
William Enck, North Carolina State University
David Evans, University of Virginia
Matt Fredrikson, University of Wisconsin—Madison
Roxana Geambasu, Columbia University
Rachel Greenstadt, Drexel University
Chris Grier, DataBricks
Guofei Gu, Texas A&M University
J. Alex Halderman, University of Michigan
Nadia Heninger, University of Pennsylvania
Susan Hohenberger, Johns Hopkins University
Jean-Pierre Hubaux, École Polytechnique Fédérale de Lausanne (EPFL)
Cynthia Irvine, Naval Postgraduate School
Rob Johnson, Stony Brook University
Brent Kang, Korea Advanced Institute of Science and Technology (KAIST)
Taesoo Kim, Georgia Institute of Technology
Engin Kirda, Northeastern University
Yoshi Kohno, University of Washington
Farinaz Koushanfar, Rice University
Zhou Li, RSA Labs
David Lie, University of Toronto
Janne Lindqvist, Rutgers University
Long Lu, Stony Brook University
Stephen McCamant, University of Minnesota
Damon McCoy, New York University
Jonathan McCune, Google
Sarah Meiklejohn, University College London
David Molnar, Microsoft Research
Tyler Moore, Southern Methodist University
Nick Nikiforakis, Stony Brook University
Cristina Nita-Rotaru, Purdue University
Zachary N. J. Peterson, California Polytechnic State University
Michalis Polychronakis, Stony Brook University
Adrienne Porter Felt, Google
Georgios Portokalidis, Stevens Institute of Technology
Niels Provos, Google
Benjamin Ransford, University of Washington
Thomas Ristenpart, University of Wisconsin—Madison
Will Robertson, Northeastern University
Franziska Roesner, University of Washington
Nitesh Saxena, University of Alabama at Birmingham
Prateek Saxena, National University of Singapore
R. Sekar, Stony Brook University
Hovav Shacham, University of California, San Diego
Micah Sherr, Georgetown University
Elaine Shi, University of Maryland, College Park
Reza Shokri, The University of Texas at Austin
Cynthia Sturton, The University of North Carolina at Chapel Hill
Patrick Traynor, University of Florida
Ingrid Verbauwhede, Katholieke Universiteit Leuven
Giovanni Vigna, University of California, Santa Barbara
David Wagner, University of California, Berkeley
Ralf-Philipp Weinmann, Comsecuris
Xiaoyong Zhou, Samsung Research America
