Michael Backes, CISPA, Saarland University & MPI-SWS
Michael Bailey, University of Illinois at Urbana-Champaign
Davide Balzarotti, Eurecom
Lujo Bauer, Carnegie Mellon University
Leyla Bilge, Symantec
Dan Boneh, Stanford University
Joseph Bonneau, Stanford University and The Electronic Frontier Foundation
Nikita Borisov, University of Illinois at Urbana-Champaign
Elie Bursztein, Google
Juan Caballero, IMDEA Software Institute
Srdjan Capkun, ETH Zürich
Stephen Checkoway, University of Illinois at Chicago
Nicolas Christin, Carnegie Mellon University
Manuel Costa, Microsoft Research
George Danezis, University College London
Tamara Denning, University of Utah
Adam Doupé, Arizona State University
Tudor Dumitras, University of Maryland, College Park
Manuel Egele, Boston University
Serge Egelman, University of California, Berkeley, and International Computer Science Institute
David Evans, University of Virginia
Cédric Fournet, Microsoft Research
Matt Fredrikson, Carnegie Mellon University
Cristiano Giuffrida, Vrije Universiteit Amsterdam
Matthew Green, Johns Hopkins University
Chris Grier, Databricks
Guofei Gu, Texas A&M University
Saikat Guha, Microsoft Research India
J. Alex Halderman, University of Michigan
Nadia Heninger, University of Pennsylvania
Cynthia Irvine, Naval Postgraduate School
Martin Johns, SAP Research
Engin Kirda, Northeastern University
Yoshi Kohno, University of Washington
Farinaz Koushanfar, University of California, San Diego
Per Larsen, University of California, Irvine
Wenke Lee, Georgia Tech
Nektarios Leontiadis, Facebook
Janne Lindqvist, Rutgers University
Benjamin Livshits, Microsoft Research
Michelle Mazurek, University of Maryland, College Park
Stephen McCamant, University of Minnesota
Damon McCoy, New York University/ICSI
Jonathan McCune, Google
Sarah Meiklejohn, University College London
Prateek Mittal, Princeton University
Tyler Moore, University of Tulsa
Arvind Narayanan, Princeton University
Nick Nikiforakis, Stony Brook University
Cristina Nita-Rotaru, Northeastern University
Mathias Payer, Purdue University
Zachary N. J. Peterson, California Polytechnic State University
Frank Piessens, Katholieke Universiteit Leuven
Michalis Polychronakis, Stony Brook University
Raluca Ada Popa, University of California, Berkeley
Christina Pöpper, New York University
Adrienne Porter Felt, Google
Georgios Portokalidis, Stevens Institute of Technology
Niels Provos, Google
Thomas Ristenpart, Cornell Tech
Will Robertson, Northeastern University
Franziska Roesner, University of Washington
Andrei Sabelfeld, Chalmers University of Technology
Ahmad-Reza Sadeghi, Technische Universität Darmstadt
Felix Schuster, Microsoft Research
Jörg Schwenk, Ruhr-Universität Bochum
Hovav Shacham, University of California, San Diego
Micah Sherr, Georgetown University
Elaine Shi, University of Maryland, College Park
Reza Shokri, The University of Texas at Austin
Deian Stefan, University of California, San Diego
Gianluca Stringhini, University College London
Cynthia Sturton, The University of North Carolina at Chapel Hill
Kurt Thomas, Google
Patrick Traynor, University of Florida
Giovanni Vigna, University of California, Santa Barbara
David Wagner, University of California, Berkeley
Nicholas Weaver, International Computer Science Institute
