Devdatta Akhawe, Dropbox
Manos Antonakakis, Georgia Institute of Technology
Michael Backes, CISPA, Saarland University, and Max Planck Institute for Software Systems (MPI-SWS)
Michael Bailey, University of Illinois at Urbana-Champaign
Davide Balzarotti, Eurecom
Lujo Bauer, Carnegie Mellon University
Karthikeyan Bhargavan, Inria
Leyla Bilge, Symantec
Joseph Bonneau, Electronic Frontier Foundation and Stanford University
Dolan-Gavitt Brendan, New York University
Kevin Butler, University of Florida
Juan Caballero, IMDEA Software Institute
Srdjan Capkun, ETH Zurich
David Cash, Rutgers University
Stephen Checkoway, University of Illinois at Chicago
Nicolas Christin, Carnegie Mellon University
Manuel Costa, Microsoft Research
Adam Doupé, Arizona State University
Tudor Dumitras, University of Maryland
Manuel Egele, Boston University
Serge Egelman, International Computer Science Institute and University of California, Berkeley
William Enck, North Carolina State University
Roya Ensafi, Princeton University
Cédric Fournet, Microsoft Research
Matthew Fredrikson, Carnegie Mellon University
Guofei Gu, Texas A&M University
Nadia Heninger, University of Pennsylvania
Thorsten Holz, Ruhr-Universtät Bochum
Suman Jana, Columbia University
Martin Johns, SAP Research
Ari Juels, Cornell Tech
Chris Kanich, University of Illinois at Chicago
Alexandros Kapravelos, North Carolina State University
Tadayoshi Kohno, University of Washington
Farinaz Koushanfar, University of California, San Diego
Andrea Lanzi, University of Milan
Wenke Lee, Georgia Institute of Technology
Tim Leek, MIT Lincoln Laboratory
Zhenkai Liang, National University of Singapore
David Lie, University of Toronto
Zhiqiang Lin, The University of Texas at Dallas
Ben Livshits, Microsoft Research
Long Lu, Stony Brook University
Ivan Martinovic, Oxford University
Michelle Mazurek, University of Maryland
Damon McCoy, New York University
Jonathan McCune, Google
Sarah Meiklejohn, University College London
Andrew Miller, University of Illinois at Urbana–Champaign
Prateek Mittal, Princeton University
Nick Nikiforakis, Stony Brook University
Alina Oprea, Northeastern University
Kenny Paterson, Royal Holloway, University of London
Mathias Payer, Purdue University
Roberto Perdisci, University of Georgia
Michalis Polychranakis, Stony Brook University
Christina Pöpper, New York University
Adrienne Porter Felt, Google
Georgios Portokalidis, Stevens Institute of Technology
William Robertson, Northeastern University
Franziska Roesner, University of Washington
Andrei Sabelfeld, Chalmers University of Technology
Thomas Shrimpton, University of Florida
Stelios Sidiroglou-Douskos, Massachusetts Institute of Technology
Robin Sommer, International Computer Science Institute
Deian Stefan, University of California, San Diego
Gianluca Stringhini, University College London
Kurt Thomas, Google
Patrick Traynor, University of Florida
Blaze Ur, University of Chicago
Giovanni Vigna, University of California, Santa Barbara
Xi Wang, University of Washington
XiaoFeng Wang, Indiana University
Yuval Yarom, University of Adelaide
Yinqian Zhang, The Ohio State University
