paper,title,topic
1,IFC-ABE: Enforcing Centralized and Decentralized Information Flow Control with Attribute-based Encryption,Access control
1,IFC-ABE: Enforcing Centralized and Decentralized Information Flow Control with Attribute-based Encryption,Applied cryptography
1,IFC-ABE: Enforcing Centralized and Decentralized Information Flow Control with Attribute-based Encryption,Information flow
2,FreeGuard: A Faster and More Secure Heap Allocator,Software security
4,Lightweight Anonymous Attestation with Efficient Revocation,Anonymity
4,Lightweight Anonymous Attestation with Efficient Revocation,Authentication and authorization
4,Lightweight Anonymous Attestation with Efficient Revocation,Privacy-preserving systems
5,Forensic investigations in SDN networks,Forensics
5,Forensic investigations in SDN networks,Software security
6,Crypt-CNN: Privacy-Preserving Evaluation of Non-linear Convolutional Neural Networks,Applied cryptography
6,Crypt-CNN: Privacy-Preserving Evaluation of Non-linear Convolutional Neural Networks,Machine learning
6,Crypt-CNN: Privacy-Preserving Evaluation of Non-linear Convolutional Neural Networks,Secure and verifiable computation
7,Insecurity of Internet-of-Things Charging in Operational LTE Networks,Cyber-physical systems (including IoT) security
7,Insecurity of Internet-of-Things Charging in Operational LTE Networks,Mobile security and privacy
8,XBI Analysis: Runtime SQL Injection Detection by Cross Boundary Input Analysis,Software security
8,XBI Analysis: Runtime SQL Injection Detection by Cross Boundary Input Analysis,Web security and privacy
9,Enumerating Active IPv6 Hosts for Large-scale Security Scans via DNSSEC-signed Reverse Zones,Network security
9,Enumerating Active IPv6 Hosts for Large-scale Security Scans via DNSSEC-signed Reverse Zones,Protocols
10,DistoRt: Receiver Anonymity on Existing Infrastructure,Anonymity
10,DistoRt: Receiver Anonymity on Existing Infrastructure,Applied cryptography
10,DistoRt: Receiver Anonymity on Existing Infrastructure,Authentication and authorization
10,DistoRt: Receiver Anonymity on Existing Infrastructure,Privacy-preserving systems
10,DistoRt: Receiver Anonymity on Existing Infrastructure,Protocols
10,DistoRt: Receiver Anonymity on Existing Infrastructure,Web security and privacy
11,Certified Malware: Measuring Breaches of Trust in the Windows Code-Signing PKI,Malware
12,DPavatar: Differentially Private Location Protection for Incumbent Users in Cognitive Radio Networks,Mobile security and privacy
12,DPavatar: Differentially Private Location Protection for Incumbent Users in Cognitive Radio Networks,Network security
