SessionID,When,Topic
A1,1,Multi-Party Computation 1
A2,1,Human Authentication
A3,1,Adversarial Machine Learning
A4,1,Browsers
A5,1,Cryptocurrency
B1,2,Multi-Party Computation 2
B2,2,Passwords
B3,2,Investigating Attacks
B4,2,Privacy Policies
B5,2,Blockchains
C1,3,Oblivious RAM
C2,3,World Wide Web of Wickedness
C3,3,Machine Learning Privacy
C4,3,From Verification to ABE
C5,3,Using Blockchains
D1,4,Functional Encryption and Obfuscation
D2,4,Vulnerable Mobile Apps
D3,4,Logical Side Channels
D4,4,Crypto Primitives
D5,4,Network Security
E1,5,Hardening Crypto
E2,5,Securing Mobile Apps
E3,5,Phyiscal Side Channels
E4,5,Adversarial Social Networking
E5,5,Crypto for the Cloud
F1,6,Private Set Intersection
F2,6,Insights from Log(in)s
F3,6,Crypto Pitfalls
F4,6,Private Queries
F5,6,Understanding Security Fails
G1,7,Searchable Encryption
G2,7,Bug-Hunting Risks and Rewards
G3,7,Crypto Standards
G4,7,Voting
G5,7,Hardening Hardware
H1,8,Crypto Attacks
H2,8,Code Reuse Attacks
H3,8,Web Security
H4,8,Formal Verification
I1,9,Post-Quantum
I2,9,Information Flow
I3,9,Personal Privacy
I4,9,Verifying Crypto
I5,9,Communication Privacy
J1,10,Outsourcing
J2,10,Fun with Fuzzing
J3,10,Problematic Patches
J4,10,Flash Security
K1,11,Secure Computation
K2,11,Fuzzing Finer and Faster
K3,11,Program Analysis
K4,11,Secure Enclaves
